Продукт,Калорийность,Белки,Жиры,Углеводы
"Колбаса, Брауншвейгская, свинина",327 кКал,327 кКал,327 кКал,327 кКал
"Колбаса, из свинины и говядины, с сыром чеддер, копченая",296 кКал,296 кКал,296 кКал,296 кКал
"Колбаса, итальянская, свинина, вареная",324 кКал,324 кКал,324 кКал,324 кКал
"Колбаса, Итальянская, свинина, сырая",290 кКал,290 кКал,290 кКал,290 кКал
"Колбаса, итальянская, сладкая, сосиски или сардельки",149 кКал,149 кКал,149 кКал,149 кКал
"Колбаса, Кровяная",379 кКал,379 кКал,379 кКал,379 кКал
"Колбаса, Ливерная, свинина",326 кКал,326 кКал,326 кКал,326 кКал
"Колбаса, польская, говядина с курицей, острая",259 кКал,259 кКал,259 кКал,259 кКал
"Колбаса, польская, из индейки и говядины, копченая",226 кКал,226 кКал,226 кКал,226 кКал
"Колбаса, польская, из свинины",326 кКал,326 кКал,326 кКал,326 кКал
"Колбаса, польская, из свинины и говядины, копченая",301 кКал,301 кКал,301 кКал,301 кКал
"Колбаса, свинина, вареная",339 кКал,339 кКал,339 кКал,339 кКал
"Колбаса, свинина, говядина, вареная",396 кКал,396 кКал,396 кКал,396 кКал
"Колбаса, свинина, сырая",288 кКал,288 кКал,288 кКал,288 кКал
"Колбасы, копченые сардельки, из свинины и говядины",320 кКал,320 кКал,320 кКал,320 кКал
"Копченые сардельки, из свинины",309 кКал,309 кКал,309 кКал,309 кКал
"Копченые сардельки, из свинины и говядины, …",268 кКал,268 кКал,268 кКал,268 кКал
"Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока",313 кКал,313 кКал,313 кКал,313 кКал
Корейка копчено-запеченная (свинина),475 кКал,475 кКал,475 кКал,475 кКал
Корейка сырокопченая (свинина),469 кКал,469 кКал,469 кКал,469 кКал
"Куриные грудки, запеченные в духовке, обезжиренные, нарезка",79 кКал,79 кКал,79 кКал,79 кКал
"курица, Паштет, из печени, консерв.",201 кКал,201 кКал,201 кКал,201 кКал
"Ливанская болонья, говядина",172 кКал,172 кКал,172 кКал,172 кКал
Мясной хлеб ветчинный,256 кКал,256 кКал,256 кКал,256 кКал
Мясной хлеб говяжий,263 кКал,263 кКал,263 кКал,263 кКал
Мясной хлеб отдельный,246 кКал,246 кКал,246 кКал,246 кКал
Окорок тамбовский вареный,288 кКал,288 кКал,288 кКал,288 кКал
Охотничьи колбаски,463 кКал,463 кКал,463 кКал,463 кКал
Палочки из бекона и говядины,517 кКал,517 кКал,517 кКал,517 кКал
"Пастрома, из индейки",139 кКал,139 кКал,139 кКал,139 кКал
"Паштет, из ливерной колбасы",305 кКал,305 кКал,305 кКал,305 кКал
"Паштет, с ароматом трюфелей",327 кКал,327 кКал,327 кКал,327 кКал
"Пепперони (острое салями), свинина, говядина",504 кКал,504 кКал,504 кКал,504 кКал
