Продукт,Калорийность,Белки,Жиры,Углеводы
"Вишня Монморанси, сушеная, подслащенная",333 кКал,333 кКал,333 кКал,333 кКал
"Вишня, консервированная в водной заливке",36 кКал,36 кКал,36 кКал,36 кКал
"Вишня, консервированная в водной заливке, содержимое без жидкости",42 кКал,42 кКал,42 кКал,42 кКал
"Вишня, консервированная в легком сахарном сиропе",75 кКал,75 кКал,75 кКал,75 кКал
"Вишня, консервированная в насыщенном сахарном сиропе",91 кКал,91 кКал,91 кКал,91 кКал
"Вишня, консервированная в экстра-насыщенном сахарном сиропе",114 кКал,114 кКал,114 кКал,114 кКал
Голубика,39 кКал,39 кКал,39 кКал,39 кКал
Гранат,72 кКал,72 кКал,72 кКал,72 кКал
Гранат,83 кКал,83 кКал,83 кКал,83 кКал
Грейпфрут,35 кКал,35 кКал,35 кКал,35 кКал
Грейпфрут белый,33 кКал,33 кКал,33 кКал,33 кКал
"Грейпфрут белый, Калифорнийский",37 кКал,37 кКал,37 кКал,37 кКал
"Грейпфрут белый, Флоридский",32 кКал,32 кКал,32 кКал,32 кКал
Грейпфрут розовый и красный,42 кКал,42 кКал,42 кКал,42 кКал
"Грейпфрут розовый и красный, Калифорнийский и Аризонский",37 кКал,37 кКал,37 кКал,37 кКал
"Грейпфрут розовый и красный, Флоридский",30 кКал,30 кКал,30 кКал,30 кКал
"Грейпфрут, все виды",32 кКал,32 кКал,32 кКал,32 кКал
"Грейпфрут, консервированный в водной заливке",36 кКал,36 кКал,36 кКал,36 кКал
"Грейпфрут, консервированный в легком сахарном сиропе",60 кКал,60 кКал,60 кКал,60 кКал
"Грейпфрут, консервированный в собственном соку",37 кКал,37 кКал,37 кКал,37 кКал
Груша,57 кКал,57 кКал,57 кКал,57 кКал
Груша,47 кКал,47 кКал,47 кКал,47 кКал
Груша азиатская (китайская),42 кКал,42 кКал,42 кКал,42 кКал
Груша Анжу зеленая,66 кКал,66 кКал,66 кКал,66 кКал
Груша Анжу красная,62 кКал,62 кКал,62 кКал,62 кКал
"Груша Бартлетт (вильямс, дюшес)",63 кКал,63 кКал,63 кКал,63 кКал
Груша Бере Боск,67 кКал,67 кКал,67 кКал,67 кКал
Груша сушеная,270 кКал,270 кКал,270 кКал,270 кКал
Грушевый компот. Консервы,74 кКал,74 кКал,74 кКал,74 кКал
Груши сушеные,262 кКал,262 кКал,262 кКал,262 кКал
"Груши сушеные, тушеные без сахара",127 кКал,127 кКал,127 кКал,127 кКал
"Груши сушеные, тушеные с сахаром",140 кКал,140 кКал,140 кКал,140 кКал
"Груши, консервированные в водной заливке",29 кКал,29 кКал,29 кКал,29 кКал
"Груши, консервированные в легком сахарном сиропе",57 кКал,57 кКал,57 кКал,57 кКал
"Груши, консервированные в насыщенном сахарном сиропе",74 кКал,74 кКал,74 кКал,74 кКал
"Груши, консервированные в насыщенном сахарном сиропе, сухой продукт",74 кКал,74 кКал,74 кКал,74 кКал
"Груши, консервированные в собственном соку",50 кКал,50 кКал,50 кКал,50 кКал
"Груши, консервированные в экстра-легком сахарном сиропе",47 кКал,47 кКал,47 кКал,47 кКал
"Груши, консервированные в экстра-насыщенном сахарном сиропе",97 кКал,97 кКал,97 кКал,97 кКал
Гуава,68 кКал,68 кКал,68 кКал,68 кКал
Гуава земляничная,69 кКал,69 кКал,69 кКал,69 кКал
"Гуава, соус, приготовленный",36 кКал,36 кКал,36 кКал,36 кКал
"Джамболан (ямболан), сырой",60 кКал,60 кКал,60 кКал,60 кКал
"Джекфрут, консервированный в сахарном сиропе",92 кКал,92 кКал,92 кКал,92 кКал
"Джекфрут, сырой",95 кКал,95 кКал,95 кКал,95 кКал
Дуриан,147 кКал,147 кКал,147 кКал,147 кКал
Дыня,35 кКал,35 кКал,35 кКал,35 кКал
Дыня белая мускатная,36 кКал,36 кКал,36 кКал,36 кКал
"Дыня замороженная, шарики",33 кКал,33 кКал,33 кКал,33 кКал
"Дыня зимняя, кассаба",28 кКал,28 кКал,28 кКал,28 кКал
"Дыня мускусная, канталупа",34 кКал,34 кКал,34 кКал,34 кКал
"Дыня рогатая, (кивано), огурец африканский",44 кКал,44 кКал,44 кКал,44 кКал
Ежевика,34 кКал,34 кКал,34 кКал,34 кКал
Ежевика,43 кКал,43 кКал,43 кКал,43 кКал
Ежевика дикая (Аляска),52 кКал,52 кКал,52 кКал,52 кКал
"Ежевика, замороженная, неподслащенная",64 кКал,64 кКал,64 кКал,64 кКал
"Ежевика, консервированная в насыщенном сахарном сиропе",92 кКал,92 кКал,92 кКал,92 кКал
Жимолость,"41,2 кКал","41,2 кКал","41,2 кКал","41,2 кКал"
Изюм без косточек (из винограда кишмиш),281 кКал,281 кКал,281 кКал,281 кКал
Изюм с косточками,296 кКал,296 кКал,296 кКал,296 кКал
Изюм с косточками (виноград сушеный),276 кКал,276 кКал,276 кКал,276 кКал
"Изюм чёрный без косточек (""коринка"", из винограда Черный Коринф)",290 кКал,290 кКал,290 кКал,290 кКал
"Изюм, без косточек",299 кКал,299 кКал,299 кКал,299 кКал
"Изюм, золотистый, без косточек",301 кКал,301 кКал,301 кКал,301 кКал
Инжир,54 кКал,54 кКал,54 кКал,54 кКал
Инжир,74 кКал,74 кКал,74 кКал,74 кКал
Инжир сушеный,257 кКал,257 кКал,257 кКал,257 кКал
Инжир сушеный,249 кКал,249 кКал,249 кКал,249 кКал
"Инжир сушеный, подслащенный",107 кКал,107 кКал,107 кКал,107 кКал
"Инжир, консервированный в водной заливке",53 кКал,53 кКал,53 кКал,53 кКал
"Инжир, консервированный в легком сахарном сиропе",69 кКал,69 кКал,69 кКал,69 кКал
"Инжир, консервированный в насыщенном сахарном сиропе",88 кКал,88 кКал,88 кКал,88 кКал
"Инжир, консервированный в экстра-насыщенном сахарном сиропе",107 кКал,107 кКал,107 кКал,107 кКал
Ирга,47 кКал,47 кКал,47 кКал,47 кКал
Калина,"26,3 кКал","26,3 кКал","26,3 кКал","26,3 кКал"
"Карамбола, сырая",31 кКал,31 кКал,31 кКал,31 кКал
"Карисса, сырая",62 кКал,62 кКал,62 кКал,62 кКал
Келуак (кепаянг),111 кКал,111 кКал,111 кКал,111 кКал
Киви,47 кКал,47 кКал,47 кКал,47 кКал
"Киви Zespri Санголд, новозеландское",63 кКал,63 кКал,63 кКал,63 кКал
Киви свежее,61 кКал,61 кКал,61 кКал,61 кКал
"Киви, джем",243 кКал,243 кКал,243 кКал,243 кКал
"Киви, пюре",47 кКал,47 кКал,47 кКал,47 кКал
Кизил,45 кКал,45 кКал,45 кКал,45 кКал
Клементины,47 кКал,47 кКал,47 кКал,47 кКал
Клубника,41 кКал,41 кКал,41 кКал,41 кКал
Клубника замороженная,35 кКал,35 кКал,35 кКал,35 кКал
"Клубника ломтиками, замороженная, подслащенная",96 кКал,96 кКал,96 кКал,96 кКал
"Клубника, сырая",32 кКал,32 кКал,32 кКал,32 кКал
"Клубничный компот, клубника консервированная в сахарном сиропе",92 кКал,92 кКал,92 кКал,92 кКал
Клюква,28 кКал,28 кКал,28 кКал,28 кКал
Клюква,46 кКал,46 кКал,46 кКал,46 кКал
"Клюква сушеная, подслащенная",308 кКал,308 кКал,308 кКал,308 кКал
"Клюквенно-апельсиновый соус, консервированный",178 кКал,178 кКал,178 кКал,178 кКал
"Клюквенный соус желеобразный, консервированный, OCEAN SPRAY",160 кКал,160 кКал,160 кКал,160 кКал
"Клюквенный соус с цельными ягодами, консервированный, OCEAN SPRAY",158 кКал,158 кКал,158 кКал,158 кКал
"Клюквенный соус, консервированный, подслащенный",159 кКал,159 кКал,159 кКал,159 кКал
Компот из земляники. Консервы,0 кКал,0 кКал,0 кКал,0 кКал
Компот из слив венгерка. Консервы,96 кКал,96 кКал,96 кКал,96 кКал
Компот из слив ренклод. Консервы,86 кКал,86 кКал,86 кКал,86 кКал
Концентрат малинового сока,221 кКал,221 кКал,221 кКал,221 кКал
Кратева священная,69 кКал,69 кКал,69 кКал,69 кКал
Крыжовник,45 кКал,45 кКал,45 кКал,45 кКал
Крыжовник,44 кКал,44 кКал,44 кКал,44 кКал
"Крыжовник, консервированный в легком сахарном сиропе",73 кКал,73 кКал,73 кКал,73 кКал
Кумкват,71 кКал,71 кКал,71 кКал,71 кКал
Курага (абрикосы сушеные без косточки),232 кКал,232 кКал,232 кКал,232 кКал
Лайм,30 кКал,30 кКал,30 кКал,30 кКал
Лимон,34 кКал,34 кКал,34 кКал,34 кКал
"Лимон без цедры, сырые",29 кКал,29 кКал,29 кКал,29 кКал
"Лимонная цедра, сырая",47 кКал,47 кКал,47 кКал,47 кКал
"Лимонник китайский, ягоды высушенные с семенами",416 кКал,416 кКал,416 кКал,416 кКал
"Лимонник китайский, ягоды свежие без семян",47 кКал,47 кКал,47 кКал,47 кКал
Личи,66 кКал,66 кКал,66 кКал,66 кКал
"Личи, сушеные",277 кКал,277 кКал,277 кКал,277 кКал
"Логанова ягода, мороженная",55 кКал,55 кКал,55 кКал,55 кКал
Лонган,60 кКал,60 кКал,60 кКал,60 кКал
"Лонган, сушеный",286 кКал,286 кКал,286 кКал,286 кКал
Малайское яблоко (Ямбоза),25 кКал,25 кКал,25 кКал,25 кКал
Малина,52 кКал,52 кКал,52 кКал,52 кКал
Малина,46 кКал,46 кКал,46 кКал,46 кКал
Малина дикая (индейцы северных великих равнин),62 кКал,62 кКал,62 кКал,62 кКал
"Малина красная, замороженная",56 кКал,56 кКал,56 кКал,56 кКал
"Малина красная, замороженная, подслащенная",103 кКал,103 кКал,103 кКал,103 кКал
"Малина красная, консервированная в насыщенном сахарном сиропе",91 кКал,91 кКал,91 кКал,91 кКал
"Малиновое пюре без семян, без сахара",41 кКал,41 кКал,41 кКал,41 кКал
"Малиновое пюре с семенами, без сахара",55 кКал,55 кКал,55 кКал,55 кКал
"Мамея (маммея), антильский абрикос, сырой",51 кКал,51 кКал,51 кКал,51 кКал
Манго,60 кКал,60 кКал,60 кКал,60 кКал
Манго сушеное подслащенное,319 кКал,319 кКал,319 кКал,319 кКал
"Мангостан (мангустин), консервированный в сиропе",73 кКал,73 кКал,73 кКал,73 кКал
Мандарин,53 кКал,53 кКал,53 кКал,53 кКал
Мандарин,38 кКал,38 кКал,38 кКал,38 кКал
"Мандарин, консервированный в легком сахарном сиропе",61 кКал,61 кКал,61 кКал,61 кКал
"Мандарин, консервированный в собственном соку",37 кКал,37 кКал,37 кКал,37 кКал
"Мандарин, консервированный в собственном соку, сухой продукт",38 кКал,38 кКал,38 кКал,38 кКал
Мандариновый джем,276 кКал,276 кКал,276 кКал,276 кКал
Маракуйя (пурпурная гранадилла),97 кКал,97 кКал,97 кКал,97 кКал
"Можжевельник, шишкоягоды",130 кКал,130 кКал,130 кКал,130 кКал
Морошка,40 кКал,40 кКал,40 кКал,40 кКал
Морошка (Аляска),51 кКал,51 кКал,51 кКал,51 кКал
Мушмула,47 кКал,47 кКал,47 кКал,47 кКал
"Нансе фрукт (бирсонима толстолистная), замороженный",73 кКал,73 кКал,73 кКал,73 кКал
"Нансе фрукт (бирсонима толстолистная), консервированный в сиропе",95 кКал,95 кКал,95 кКал,95 кКал
"Наранхилла, замороженная",25 кКал,25 кКал,25 кКал,25 кКал
Нектарин,44 кКал,44 кКал,44 кКал,44 кКал
Облепиха,82 кКал,82 кКал,82 кКал,82 кКал
Опунция (колючая груша),41 кКал,41 кКал,41 кКал,41 кКал
Папайя,43 кКал,43 кКал,43 кКал,43 кКал
"Папайя, консервированная в насыщенном сиропе",206 кКал,206 кКал,206 кКал,206 кКал
Пектин жидкий,11 кКал,11 кКал,11 кКал,11 кКал
Персик,45 кКал,45 кКал,45 кКал,45 кКал
