Продукт,Калорийность,Белки,Жиры,Углеводы
Маргарин «Экстра»,744 кКал,744 кКал,744 кКал,744 кКал
"Маргарин (спред) на основе растительного масла, 20% жира",175 кКал,175 кКал,175 кКал,175 кКал
"Маргарин (спред) на основе растительного масла, 20% жира, без соли",175 кКал,175 кКал,175 кКал,175 кКал
"Маргарин (спред) на основе растительного масла, 35-39% жира",349 кКал,349 кКал,349 кКал,349 кКал
"Маргарин (спред) на основе растительного масла, 37% жира, с солью, с витамином D",339 кКал,339 кКал,339 кКал,339 кКал
"Маргарин (спред) на основе растительного масла, 40% жира, с солью",362 кКал,362 кКал,362 кКал,362 кКал
"Маргарин (спред) на основе растительного масла, 50% жира, с солью",450 кКал,450 кКал,450 кКал,450 кКал
"Маргарин (спред) на основе растительного масла, 52% жира, подслащенный",534 кКал,534 кКал,534 кКал,534 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, без соли",533 кКал,533 кКал,533 кКал,533 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, без соли, с витамином D",542 кКал,542 кКал,542 кКал,542 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью",526 кКал,526 кКал,526 кКал,526 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, stick",537 кКал,537 кКал,537 кКал,537 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, tub",533 кКал,533 кКал,533 кКал,533 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D",535 кКал,535 кКал,535 кКал,535 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D, stick",537 кКал,537 кКал,537 кКал,537 кКал
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D, tub",533 кКал,533 кКал,533 кКал,533 кКал
"Маргарин (спред) на основе растительного масла, 67-70% жира",606 кКал,606 кКал,606 кКал,606 кКал
"Маргарин (спред) на основе растительного масла, обезжиренный",44 кКал,44 кКал,44 кКал,44 кКал
"Маргарин (спред) на основе растительного масла, обезжиренный, жидкий, с солью",43 кКал,43 кКал,43 кКал,43 кКал
"Маргарин (спред) на основе соевого масла, 70% жира",628 кКал,628 кКал,628 кКал,628 кКал
"Маргарин (спред) с йогуртом, 35% жира, с солью",330 кКал,330 кКал,330 кКал,330 кКал
"Маргарин (спред) с йогуртом, 70% жира, с солью",630 кКал,630 кКал,630 кКал,630 кКал
"Маргарин (спред), ""Light Buttery Spread"" компании SMART BALANCE",337 кКал,337 кКал,337 кКал,337 кКал
"Маргарин (спред), ""Light Spread"" компании BENECOL",357 кКал,357 кКал,357 кКал,357 кКал
"Маргарин (спред), ""Omega Plus Spread"" компании SMART BALANCE (с фитостеролами и рыбим жиром)",605 кКал,605 кКал,605 кКал,605 кКал
"Маргарин (спред), ""Regular Buttery Spread"" компании SMART BALANCE",583 кКал,583 кКал,583 кКал,583 кКал
"Маргарин (спред), ""Smart Squeeze"" компании SMART BEAT",47 кКал,47 кКал,47 кКал,47 кКал
"Маргарин (спред), ""Super Light "" компании  SMART BEAT, без жирных кислот",158 кКал,158 кКал,158 кКал,158 кКал
"Маргарин в смеси со сливочным маслом, 80% жира, без соли",718 кКал,718 кКал,718 кКал,718 кКал
