Продукт,Калорийность,Белки,Жиры,Углеводы
Миндаль жареный,642 кКал,642 кКал,642 кКал,642 кКал
"Миндаль, жареный в масле без соли",607 кКал,607 кКал,607 кКал,607 кКал
"Миндаль, жареный в масле с солью",607 кКал,607 кКал,607 кКал,607 кКал
"Миндаль, жареный в масле с солью, с копчёным ароматом",607 кКал,607 кКал,607 кКал,607 кКал
"Миндаль, жареный в масле слабосолёный",607 кКал,607 кКал,607 кКал,607 кКал
"Миндаль, обжареный в меде, небланшированный",594 кКал,594 кКал,594 кКал,594 кКал
"Миндаль, сухая обжарка, без соли",598 кКал,598 кКал,598 кКал,598 кКал
"Миндаль, сухая обжарка, с солью",598 кКал,598 кКал,598 кКал,598 кКал
Миндальная паста,458 кКал,458 кКал,458 кКал,458 кКал
"Миндальный спред, без соли",614 кКал,614 кКал,614 кКал,614 кКал
"Миндальный спред, с добавлением соли",614 кКал,614 кКал,614 кКал,614 кКал
"Мука подсолнечная, обезжиренная",326 кКал,326 кКал,326 кКал,326 кКал
"Орех гикори (кария пекан), сушеный",657 кКал,657 кКал,657 кКал,657 кКал
"Орех гинкго, консервированный",111 кКал,111 кКал,111 кКал,111 кКал
"Орех гинкго, сушеный",348 кКал,348 кКал,348 кКал,348 кКал
"Орех гинкго, сырой",182 кКал,182 кКал,182 кКал,182 кКал
"Орех калифорнийский, сушеный",612 кКал,612 кКал,612 кКал,612 кКал
"Орехи, смесь без арахиса, жареные в масле без соли",615 кКал,615 кКал,615 кКал,615 кКал
"Орехи, смесь без арахиса, жареные в масле, с солью",615 кКал,615 кКал,615 кКал,615 кКал
"Орехи, смесь без арахиса, жареные в масле, слабосолёные",607 кКал,607 кКал,607 кКал,607 кКал
"Орехи, смесь с арахисом, жареные в масле без соли",607 кКал,607 кКал,607 кКал,607 кКал
"Орехи, смесь с арахисом, жареные в масле с солью",607 кКал,607 кКал,607 кКал,607 кКал
"Орехи, смесь с арахисом, сухая обжарка, без соли",607 кКал,607 кКал,607 кКал,607 кКал
"Орехи, смесь с арахисом, сухая обжарка, с солью",594 кКал,594 кКал,594 кКал,594 кКал
Пальмовое ядро,0 кКал,0 кКал,0 кКал,0 кКал
"Паста из кешью, без соли",587 кКал,587 кКал,587 кКал,587 кКал
"Паста из кешью, с солью",609 кКал,609 кКал,609 кКал,609 кКал
Паста из семян подсолнечника,617 кКал,617 кКал,617 кКал,617 кКал
"Паста из семян подсолнечника, с солью",617 кКал,617 кКал,617 кКал,617 кКал
"Пекан, орех",691 кКал,691 кКал,691 кКал,691 кКал
"Пекан, орех жареный без масла, без соли",710 кКал,710 кКал,710 кКал,710 кКал
"Пекан, орех жареный без масла, с солью",710 кКал,710 кКал,710 кКал,710 кКал
"Пекан, орех жареный в масле, без соли",715 кКал,715 кКал,715 кКал,715 кКал
"Пекан, орех жареный в масле, с солью",715 кКал,715 кКал,715 кКал,715 кКал
Персик (семя костянки),0 кКал,0 кКал,0 кКал,0 кКал
"Пили, орех сушеный",719 кКал,719 кКал,719 кКал,719 кКал
"Подсолнечник, семечки",601 кКал,601 кКал,601 кКал,601 кКал
"Подсолнечник, семечки, жареные в масле без добавления соли",592 кКал,592 кКал,592 кКал,592 кКал
"Подсолнечник, семечки, жареные в масле, с добавлением соли",592 кКал,592 кКал,592 кКал,592 кКал
"Подсолнечник, семечки, поджареные, без соли",619 кКал,619 кКал,619 кКал,619 кКал
"Подсолнечник, семечки, сухая обжарка, без соли",582 кКал,582 кКал,582 кКал,582 кКал
"Подсолнечник, семечки, сухая обжарка, с солью",582 кКал,582 кКал,582 кКал,582 кКал
"Подсолнечник, семечки, сушеные",584 кКал,584 кКал,584 кКал,584 кКал
"Подсолнечник, семечки, сушеные, солёные",619 кКал,619 кКал,619 кКал,619 кКал
"Рапс, семя",544 кКал,544 кКал,544 кКал,544 кКал
"Сафлоровая крупка, частично обезжиренная",342 кКал,342 кКал,342 кКал,342 кКал
"Сафлоровое семя, сушеное",517 кКал,517 кКал,517 кКал,517 кКал
"Семена бросимума напиткового, сушеные",367 кКал,367 кКал,367 кКал,367 кКал
"Семена бросимума напиткового, сырые",217 кКал,217 кКал,217 кКал,217 кКал
"Семена гулявника прямого целиком, сушеные",318 кКал,318 кКал,318 кКал,318 кКал
"Семена лотоса, сушеные",332 кКал,332 кКал,332 кКал,332 кКал
"Семена лотоса, сырые",89 кКал,89 кКал,89 кКал,89 кКал
Семена льна,534 кКал,534 кКал,534 кКал,534 кКал
"Семена хлебного дерева, вареные",168 кКал,168 кКал,168 кКал,168 кКал
"Семена хлебного дерева, жареные",207 кКал,207 кКал,207 кКал,207 кКал
"Семена хлебного дерева, сырые",191 кКал,191 кКал,191 кКал,191 кКал
"Семена чиа, сушеные",486 кКал,486 кКал,486 кКал,486 кКал
"Слива, семя костянки","394,3 кКал","394,3 кКал","394,3 кКал","394,3 кКал"
"Тыквенные семечки, жареные без соли",574 кКал,574 кКал,574 кКал,574 кКал
"Тыквенные семечки, жареные с солью",574 кКал,574 кКал,574 кКал,574 кКал
"Тыквенные семечки, неочищенные, обжаренные без соли",446 кКал,446 кКал,446 кКал,446 кКал
"Тыквенные семечки, неочищенные, обжаренные с солью",446 кКал,446 кКал,446 кКал,446 кКал
"Тыквенные семечки, сушеные",559 кКал,559 кКал,559 кКал,559 кКал
"Фисташки несолёные, сухая обжарка",572 кКал,572 кКал,572 кКал,572 кКал
"Фисташки солёные, сухая обжарка",569 кКал,569 кКал,569 кКал,569 кКал
"Фисташки, сырые",560 кКал,560 кКал,560 кКал,560 кКал
Фундук,628 кКал,628 кКал,628 кКал,628 кКал
Фундук,651 кКал,651 кКал,651 кКал,651 кКал
Фундук жареный,703 кКал,703 кКал,703 кКал,703 кКал
"Фундук, бланшированный",629 кКал,629 кКал,629 кКал,629 кКал
"Фундук, сухая обжарка, без соли",646 кКал,646 кКал,646 кКал,646 кКал
"Хлопчатник, крупка, частично обезжиренная (без госсипола)",367 кКал,367 кКал,367 кКал,367 кКал
"Хлопчатник, мука, обезжиренная (без госсипола)",332 кКал,332 кКал,332 кКал,332 кКал
"Хлопчатник, мука, частично обезжиренная (без госсипола)",359 кКал,359 кКал,359 кКал,359 кКал
"Хлопчатник, семена, жареные (без госсипола)",506 кКал,506 кКал,506 кКал,506 кКал
"Хлопчатник, семя",499 кКал,499 кКал,499 кКал,499 кКал
