Продукт,Калорийность,Белки,Жиры,Углеводы
"Говядина отборная,  t-bone стейк, постное мясо, жареная",198 кКал,198 кКал,198 кКал,198 кКал
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая",198 кКал,198 кКал,198 кКал,198 кКал
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая обжпренная",223 кКал,223 кКал,223 кКал,223 кКал
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", тушеная",254 кКал,254 кКал,254 кКал,254 кКал
"Говядина отборная, бочок, мясо с жиром убранным до уровня 0"", вареное",202 кКал,202 кКал,202 кКал,202 кКал
"Говядина отборная, бочок, мясо с жиром убранным до уровня 0"", сырое",165 кКал,165 кКал,165 кКал,165 кКал
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", вареное",194 кКал,194 кКал,194 кКал,194 кКал
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", сырое",149 кКал,149 кКал,149 кКал,149 кКал
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", тушеное",237 кКал,237 кКал,237 кКал,237 кКал
"Говядина отборная, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",174 кКал,174 кКал,174 кКал,174 кКал
"Говядина отборная, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",133 кКал,133 кКал,133 кКал,133 кКал
"Говядина отборная, верхняя часть лопатки,  мясо с жиром убранным до уровня 0"", жаренная",217 кКал,217 кКал,217 кКал,217 кКал
"Говядина отборная, верхняя часть лопатки, мясо с жиром убранным до уровня 0"", жареная",227 кКал,227 кКал,227 кКал,227 кКал
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",228 кКал,228 кКал,228 кКал,228 кКал
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", сырая",182 кКал,182 кКал,182 кКал,182 кКал
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 0"", жареная",217 кКал,217 кКал,217 кКал,217 кКал
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",273 кКал,273 кКал,273 кКал,273 кКал
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",331 кКал,331 кКал,331 кКал,331 кКал
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",246 кКал,246 кКал,246 кКал,246 кКал
"Говядина отборная, вырезка, постное мясо, жареная",211 кКал,211 кКал,211 кКал,211 кКал
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 0"", жареная",233 кКал,233 кКал,233 кКал,233 кКал
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная",278 кКал,278 кКал,278 кКал,278 кКал
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая",237 кКал,237 кКал,237 кКал,237 кКал
"Говядина отборная, короткий филей, постное мясо, жареная",211 кКал,211 кКал,211 кКал,211 кКал
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", жареная",221 кКал,221 кКал,221 кКал,221 кКал
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", сырая",174 кКал,174 кКал,174 кКал,174 кКал
"Говядина отборная, кострец, постное мясо, обжаренная",193 кКал,193 кКал,193 кКал,193 кКал
"Говядина отборная, кострец, постное мясо, сырая",154 кКал,154 кКал,154 кКал,154 кКал
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня 0"",тушеная",306 кКал,306 кКал,306 кКал,306 кКал
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", сырая",268 кКал,268 кКал,268 кКал,268 кКал
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", тушеная",359 кКал,359 кКал,359 кКал,359 кКал
"Говядина отборная, лопаточная мякоть, постное мясо,тушеная",231 кКал,231 кКал,231 кКал,231 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная",170 кКал,170 кКал,170 кКал,170 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", тушеная",216 кКал,216 кКал,216 кКал,216 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная",224 кКал,224 кКал,224 кКал,224 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", печеная",266 кКал,266 кКал,266 кКал,266 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая",168 кКал,168 кКал,168 кКал,168 кКал
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", тушеная",250 кКал,250 кКал,250 кКал,250 кКал
"Говядина отборная, мякоть верхней части бедра, постное мясо, жареная",166 кКал,166 кКал,166 кКал,166 кКал
"Говядина отборная, мякоть верхней части бедра, постное мясо, печеная",228 кКал,228 кКал,228 кКал,228 кКал
"Говядина отборная, мякоть верхней части бедра, постное мясо, тушеная",207 кКал,207 кКал,207 кКал,207 кКал
"Говядина отборная, мякоть верхней части плеча, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",184 кКал,184 кКал,184 кКал,184 кКал
"Говядина отборная, мякоть верхней части плеча, стейк,  мясо с жиром убранным до уровня 0"", сырая",143 кКал,143 кКал,143 кКал,143 кКал
"Говядина отборная, мякоть нижней внешней части бедра, стейк, мясо с жиром убранным до уровня0"", обжаренная на гриле",191 кКал,191 кКал,191 кКал,191 кКал
"Говядина отборная, мякоть нижней внешней части, стек, бедра, мясо с жиром убранным до уровня0"", сырая",150 кКал,150 кКал,150 кКал,150 кКал
"Говядина отборная, мякоть нижней части бедра, мясо с жиром убранным до уровня 0"", обжаренная",199 кКал,199 кКал,199 кКал,199 кКал
"Говядина отборная, мякоть нижней части бедра, мясо с жиром убранным до уровня 0"", тушеная",230 кКал,230 кКал,230 кКал,230 кКал
"Говядина отборная, мякоть нижней части бедра, постное мясо, обжаренная",185 кКал,185 кКал,185 кКал,185 кКал
"Говядина отборная, мякоть нижней части бедра, постное мясо, тушеная",223 кКал,223 кКал,223 кКал,223 кКал
"Говядина отборная, мякоть нижней части бедра, постоное мясо, обжаренная",179 кКал,179 кКал,179 кКал,179 кКал
"Говядина отборная, мякоть нижней части бедра, постоное мясо, сырая",140 кКал,140 кКал,140 кКал,140 кКал
"Говядина отборная, мякоть нижней части бедра, постоное мясо, тушеная",228 кКал,228 кКал,228 кКал,228 кКал
"Говядина отборная, мякоть шейной части, мясо с жиром убранным до уровня 0"", обжаренная",216 кКал,216 кКал,216 кКал,216 кКал
"Говядина отборная, мякоть шейной части, постное мясо, обжаренная",171 кКал,171 кКал,171 кКал,171 кКал
"Говядина отборная, мякоть шейной части, стейк,  постное мясо, тушеная",178 кКал,178 кКал,178 кКал,178 кКал
"Говядина отборная, мякоть шейной части, стейк, мясо с жиром убранным до уровня 0"",тушеная",186 кКал,186 кКал,186 кКал,186 кКал
"Говядина отборная, огузок, мясо с жиром убранным до уровня 0"", обжаренная, мясо с жиром убранным до уровня 0"", обжаренная",196 кКал,196 кКал,196 кКал,196 кКал
"Говядина отборная, огузок, мясо с жиром убранным до уровня 0"", сырая",156 кКал,156 кКал,156 кКал,156 кКал
"Говядина отборная, огузок, мясо с жиром убранным до уровня 1/8"", обжаренная",228 кКал,228 кКал,228 кКал,228 кКал
"Говядина отборная, огузок, мясо с жиром убранным до уровня 1/8"", сырая",199 кКал,199 кКал,199 кКал,199 кКал
"Говядина отборная, огузок, постное мясо, обжаренная",176 кКал,176 кКал,176 кКал,176 кКал
"Говядина отборная, огузок, постное мясо, сырая",130 кКал,130 кКал,130 кКал,130 кКал
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 0"", жареная",219 кКал,219 кКал,219 кКал,219 кКал
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", жареная",257 кКал,257 кКал,257 кКал,257 кКал
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", печеная",313 кКал,313 кКал,313 кКал,313 кКал
"Говядина отборная, оковалок,  мясо с жиром убранным до уровня 1/8"", сырая",214 кКал,214 кКал,214 кКал,214 кКал
"Говядина отборная, оковалок, постное мясо, жареная",187 кКал,187 кКал,187 кКал,187 кКал
"Говядина отборная, оковалок, постное мясо, жареная",188 кКал,188 кКал,188 кКал,188 кКал
"Говядина отборная, оковалок, постное мясо, сырая",135 кКал,135 кКал,135 кКал,135 кКал
"Говядина отборная, плечевая мякоть, мясо с жиром убранным до уровня 1/8"" , сырая",249 кКал,249 кКал,249 кКал,249 кКал
"Говядина отборная, плечевая мякоть, мясо с жиром убранным до уровня 1/8"" , тушеная",309 кКал,309 кКал,309 кКал,309 кКал
"Говядина отборная, плечевая мякоть, постное мясо,тушеная",212 кКал,212 кКал,212 кКал,212 кКал
"Говядина отборная, плечевая мякоть, филе-миньон, мясо с жиром убранным до уровня 0"", обжаренная на гриле",181 кКал,181 кКал,181 кКал,181 кКал
"Говядина отборная, плечевая мякоть, филе-миньон, мясо с жиром убранным до уровня 0"", сырая",145 кКал,145 кКал,145 кКал,145 кКал
"Говядина отборная, плоская часть грудинки,  мясо с жиром убранным до уровня 1/8"", сырая",278 кКал,278 кКал,278 кКал,278 кКал
"Говядина отборная, плоская часть грудинки, мясо с жиром убранным до уровня 1/8"", тушеная",298 кКал,298 кКал,298 кКал,298 кКал
"Говядина отборная, плоская часть грудинки, посное мясо, сырая",129 кКал,129 кКал,129 кКал,129 кКал
"Говядина отборная, плоская часть грудинки, посное мясо, тушеная",203 кКал,203 кКал,203 кКал,203 кКал
"Говядина отборная, разделанная, нарезаная кусками, мясо постное, приготовленная",206 кКал,206 кКал,206 кКал,206 кКал
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня 0"", приготовленная",233 кКал,233 кКал,233 кКал,233 кКал
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня1/8"", приготовленная",268 кКал,268 кКал,268 кКал,268 кКал
"Говядина отборная, разделанная, нарезаная кусками, мясо с жиром убранным до уровня1/8"", сырая",224 кКал,224 кКал,224 кКал,224 кКал
"Говядина отборная, ребера, толстый край (ребра 6-9),  мясо с жиром убранным до уровня 0"", обжаренная",372 кКал,372 кКал,372 кКал,372 кКал
"Говядина отборная, ребера, толстый край (ребра 6-9),  постное мясо , обжаренная",253 кКал,253 кКал,253 кКал,253 кКал
"Говядина отборная, ребера, тонкий край (ребра 10-12), мясо с жиром убранным до уровня 0"", жареная",312 кКал,312 кКал,312 кКал,312 кКал
"Говядина отборная, ребера, тонкий край (ребра 10-12), постное мясо, жареная",225 кКал,225 кКал,225 кКал,225 кКал
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", жареная",352 кКал,352 кКал,352 кКал,352 кКал
