Продукт,Калорийность,Белки,Жиры,Углеводы
"Горошек зелёный, консервированный, без  соли",53 кКал,53 кКал,53 кКал,53 кКал
"Горошек зелёный, консервированный, без соли, содержимое без жидкости",69 кКал,69 кКал,69 кКал,69 кКал
"Горошек зелёный, консервированный, со специями",50 кКал,50 кКал,50 кКал,50 кКал
"Горошек зелёный, консервированный, содержимое без жидкости",68 кКал,68 кКал,68 кКал,68 кКал
"Горошек зелёный, консервированный, содержимое без жидкости, промытый водой",71 кКал,71 кКал,71 кКал,71 кКал
Горошек зеленый. Консервы,40 кКал,40 кКал,40 кКал,40 кКал
"Ёкан, желе из бобов адзуки (японский десерт)",260 кКал,260 кКал,260 кКал,260 кКал
Заменитель мяса,311 кКал,311 кКал,311 кКал,311 кКал
"Запеченные бобы, консервированные, без доб. соли",105 кКал,105 кКал,105 кКал,105 кКал
Камедь бобов рожкового дерева,222 кКал,222 кКал,222 кКал,222 кКал
"Колбаса, из заменителя мяса",255 кКал,255 кКал,255 кКал,255 кКал
"Кормовые бобы, в стучках",88 кКал,88 кКал,88 кКал,88 кКал
"Коровий горох (вигна китайская), catjang, зрелый",343 кКал,343 кКал,343 кКал,343 кКал
"Коровий горох (вигна китайская), catjang, зрелый, вареный, без соли",117 кКал,117 кКал,117 кКал,117 кКал
"Коровий горох (вигна китайская), catjang, зрелый, вареный, с солью",117 кКал,117 кКал,117 кКал,117 кКал
"Коровий горох (вигна китайская), листья",29 кКал,29 кКал,29 кКал,29 кКал
"Коровий горох (вигна китайская), листья, вареные, без соли",22 кКал,22 кКал,22 кКал,22 кКал
"Коровий горох (вигна китайская), листья, вареные, с солью",22 кКал,22 кКал,22 кКал,22 кКал
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, без соли",34 кКал,34 кКал,34 кКал,34 кКал
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, с солью",34 кКал,34 кКал,34 кКал,34 кКал
"Коровий горох (вигна китайская), молодые стручки с семенами, сырые",44 кКал,44 кКал,44 кКал,44 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые",409 кКал,409 кКал,409 кКал,409 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, вареная, без соли",147 кКал,147 кКал,147 кКал,147 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, с солью",147 кКал,147 кКал,147 кКал,147 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), клубни, сырые",148 кКал,148 кКал,148 кКал,148 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), листья, сырые",74 кКал,74 кКал,74 кКал,74 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые",49 кКал,49 кКал,49 кКал,49 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, без соли",38 кКал,38 кКал,38 кКал,38 кКал
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, с солью",37 кКал,37 кКал,37 кКал,37 кКал
"Кукуруза желтая, консервированная, промытая водой",64 кКал,64 кКал,64 кКал,64 кКал
"Лимская фасоль Фордхук, незрелая, замороженная",106 кКал,106 кКал,106 кКал,106 кКал
"Лимская фасоль Фордхук, незрелая, замороженная, вареная без соли",103 кКал,103 кКал,103 кКал,103 кКал
"Лимская фасоль Фордхук, незрелая, замороженная, вареная с солью",103 кКал,103 кКал,103 кКал,103 кКал
"Лимская фасоль, крупная, зрелая",338 кКал,338 кКал,338 кКал,338 кКал
"Лимская фасоль, крупная, зрелая, вареная, без соли",115 кКал,115 кКал,115 кКал,115 кКал
"Лимская фасоль, крупная, зрелая, вареная, с солью",115 кКал,115 кКал,115 кКал,115 кКал
"Лимская фасоль, крупная, зрелая, консервированная",79 кКал,79 кКал,79 кКал,79 кКал
"Лимская фасоль, мелкая, зрелая",335 кКал,335 кКал,335 кКал,335 кКал
"Лимская фасоль, мелкая, зрелая, вареная, без соли",126 кКал,126 кКал,126 кКал,126 кКал
"Лимская фасоль, мелкая, зрелая, вареная, с солью",126 кКал,126 кКал,126 кКал,126 кКал
"Лимская фасоль, мелкая, незрелая, замороженная",132 кКал,132 кКал,132 кКал,132 кКал
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, без соли",105 кКал,105 кКал,105 кКал,105 кКал
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, с солью",105 кКал,105 кКал,105 кКал,105 кКал
"Лимская фасоль, незрелая",113 кКал,113 кКал,113 кКал,113 кКал
"Лимская фасоль, незрелая, вареная, без соли",123 кКал,123 кКал,123 кКал,123 кКал
"Лимская фасоль, незрелая, вареная, с солью",123 кКал,123 кКал,123 кКал,123 кКал
"Лимская фасоль, незрелая, консервированная",71 кКал,71 кКал,71 кКал,71 кКал
"Лимская фасоль, незрелая, консервированная, без соли",71 кКал,71 кКал,71 кКал,71 кКал
"Лобия (гиацинтовые бобы, египетские бобы) зрелые",344 кКал,344 кКал,344 кКал,344 кКал
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, без соли",117 кКал,117 кКал,117 кКал,117 кКал
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, с солью",117 кКал,117 кКал,117 кКал,117 кКал
"Лобия (гиацинтовые бобы, египетские бобы) незрелые",46 кКал,46 кКал,46 кКал,46 кКал
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, без соли",50 кКал,50 кКал,50 кКал,50 кКал
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, с солью",50 кКал,50 кКал,50 кКал,50 кКал
"Люпин (волчий боб), зрелые семена",371 кКал,371 кКал,371 кКал,371 кКал
"Люпин (волчий боб), зрелые семена, вареные, без соли",119 кКал,119 кКал,119 кКал,119 кКал
"Люпин (волчий боб), зрелые семена, вареные, с солью",116 кКал,116 кКал,116 кКал,116 кКал
Маш (бобы мунг),300 кКал,300 кКал,300 кКал,300 кКал
Маш (бобы мунг),347 кКал,347 кКал,347 кКал,347 кКал
"Маш (бобы мунг) проросшие семена, вареные, с солью",19 кКал,19 кКал,19 кКал,19 кКал
"Маш (бобы мунг) проросшие семена, консервированные, сухой продукт без маринада",12 кКал,12 кКал,12 кКал,12 кКал
"Маш (бобы мунг), вареные, с доб. соли",105 кКал,105 кКал,105 кКал,105 кКал
"Маш (бобы мунг), проросшие, вареные, без соли",21 кКал,21 кКал,21 кКал,21 кКал
"Маш (бобы мунг), проросшие, жареные",50 кКал,50 кКал,50 кКал,50 кКал
"Маш (бобы мунг), проросшие, сырые",30 кКал,30 кКал,30 кКал,30 кКал
"Маш красный (фасоль адзуки), зрелые семена",329 кКал,329 кКал,329 кКал,329 кКал
"Маш красный (фасоль адзуки), зрелые семена, вареный, без соли",128 кКал,128 кКал,128 кКал,128 кКал
"Маш красный (фасоль адзуки), зрелые семена, вареный, с солью",128 кКал,128 кКал,128 кКал,128 кКал
"Маш красный (фасоль адзуки), зрелые семена, консервированный, подслащенный",237 кКал,237 кКал,237 кКал,237 кКал
"Маш чёрный (урд, или маи)",341 кКал,341 кКал,341 кКал,341 кКал
"Маш чёрный (урд, или маи), вареный, без соли",105 кКал,105 кКал,105 кКал,105 кКал
Мисо,198 кКал,198 кКал,198 кКал,198 кКал
Натто (сброженные соевые бобы),211 кКал,211 кКал,211 кКал,211 кКал
Нут (турецкий горох),378 кКал,378 кКал,378 кКал,378 кКал
Нут (турецкий горох),309 кКал,309 кКал,309 кКал,309 кКал
"Нут (турецкий горох), вареный, без соли",164 кКал,164 кКал,164 кКал,164 кКал
"Нут (турецкий горох), вареный, с солью",164 кКал,164 кКал,164 кКал,164 кКал
"Нут (турецкий горох), консервированный",88 кКал,88 кКал,88 кКал,88 кКал
"Нут (турецкий горох), консервированный, промытый водой",138 кКал,138 кКал,138 кКал,138 кКал
"Нут (турецкий горох), консервированный, с пониженным содержанием натрия",88 кКал,88 кКал,88 кКал,88 кКал
"Нут (турецкий горох), консервированный, содержимое без жидкости",139 кКал,139 кКал,139 кКал,139 кКал
Нутовая мука,387 кКал,387 кКал,387 кКал,387 кКал
"Пападам, тонкая лепёшка из чечевичной муки",371 кКал,371 кКал,371 кКал,371 кКал
"Пюре из бобов, мексиканская кухня, консервированное",90 кКал,90 кКал,90 кКал,90 кКал
"Пюре из бобов, мексиканская кухня, консервированное, вегетарианское",83 кКал,83 кКал,83 кКал,83 кКал
"Пюре из бобов, мексиканская кухня, консервированное, обезжиренное",79 кКал,79 кКал,79 кКал,79 кКал
"Сарделька (сосиска), из бобового заменителя мяса",233 кКал,233 кКал,233 кКал,233 кКал
"Смесь бобовых (кукуруза, лимская фасоль, горох, зеленые бобы, морковь), консервированная, без добавления соли",37 кКал,37 кКал,37 кКал,37 кКал
