Продукт,Калорийность,Белки,Жиры,Углеводы
"Кофейный пирог, с корицей и крошкой, сухая смесь, подготовленный",318 кКал,318 кКал,318 кКал,318 кКал
"Кофейный пирог, с кремом и шоколадной глазурью",331 кКал,331 кКал,331 кКал,331 кКал
"Кофейный пирог, фруктовый",311 кКал,311 кКал,311 кКал,311 кКал
Крекеры с отрубями,416 кКал,416 кКал,416 кКал,416 кКал
Крекеры солёные из цельной пшеницы (включая другие злаки),398 кКал,398 кКал,398 кКал,398 кКал
"Крекеры, из цельной пшеницы",427 кКал,427 кКал,427 кКал,427 кКал
"Крекеры, из цельной пшеницы, с низким содерж. соли",443 кКал,443 кКал,443 кКал,443 кКал
"Крекеры, из цельной пшеницы, с пониж. содерж. жира, 7.6%",416 кКал,416 кКал,416 кКал,416 кКал
"Крекеры, молочные",446 кКал,446 кКал,446 кКал,446 кКал
"Крекеры, пшеничные, обычные",455 кКал,455 кКал,455 кКал,455 кКал
"Крекеры, пшеничные, с низким содерж. соли",473 кКал,473 кКал,473 кКал,473 кКал
"Крекеры, пшеничные, с пониж. содерж. жира, 13.37%",444 кКал,444 кКал,444 кКал,444 кКал
"Крекеры, сырные, обычные",489 кКал,489 кКал,489 кКал,489 кКал
"Крекеры, сырные, с низким содерж. соды",503 кКал,503 кКал,503 кКал,503 кКал
"Крекеры, сырные, типа сэндвича, с начинкой из арахисового масла",496 кКал,496 кКал,496 кКал,496 кКал
"Крекеры, сырные, типа сэндвича, с сырной начинкой",490 кКал,490 кКал,490 кКал,490 кКал
"Круассаны, сливочные",406 кКал,406 кКал,406 кКал,406 кКал
"Круассаны, сырные",414 кКал,414 кКал,414 кКал,414 кКал
"Круассаны, яблочные",254 кКал,254 кКал,254 кКал,254 кКал
"Кулебяка с рыбой и рисом, по 2-196",206 кКал,206 кКал,206 кКал,206 кКал
Лаваш армянский тонкий (пшеничная мука 1 сорта),277 кКал,277 кКал,277 кКал,277 кКал
"Лаваш белый, обогащенный",275 кКал,275 кКал,275 кКал,275 кКал
"Лаваш, из цельного зерна",262 кКал,262 кКал,262 кКал,262 кКал
"Маффины кукурузные, промышленного изготовления",305 кКал,305 кКал,305 кКал,305 кКал
"Маффины с черникой, промышленного изготовления, (включая мини-маффины)",375 кКал,375 кКал,375 кКал,375 кКал
"Маффины с черникой, промышленного изготовления, маложирные, 4.22% жира",255 кКал,255 кКал,255 кКал,255 кКал
"Маффины, кукурузные, для приготовления в тостере",346 кКал,346 кКал,346 кКал,346 кКал
"Маффины, кукурузные, сухая смесь, приготовленные",321 кКал,321 кКал,321 кКал,321 кКал
"Маффины, с овсяными отрубями",270 кКал,270 кКал,270 кКал,270 кКал
"Маффины, с пшеничными отрубями, с изюмом, поджаренные в тостере",313 кКал,313 кКал,313 кКал,313 кКал
"Маффины, с пшеничными отрубями, сухая смесь",396 кКал,396 кКал,396 кКал,396 кКал
"Маффины, с черникой, для приготовления в тостере",313 кКал,313 кКал,313 кКал,313 кКал
"Маффины, с черникой, для приготовления в тостере, поджаренные в тостере",333 кКал,333 кКал,333 кКал,333 кКал
"Маффины, с черникой, сухая смесь",293 кКал,293 кКал,293 кКал,293 кКал
"Морковный пирог, сухая смесь, пудинг",415 кКал,415 кКал,415 кКал,415 кКал
Овсяный хлеб низкокалорийный,210 кКал,210 кКал,210 кКал,210 кКал
Овсяный хлеб с отрубями,236 кКал,236 кКал,236 кКал,236 кКал
"Овсяный хлеб с отрубями, низкокалорийный",201 кКал,201 кКал,201 кКал,201 кКал
"Овсяный хлеб с отрубями, низкокалорийный, тосты",239 кКал,239 кКал,239 кКал,239 кКал
"Овсяный хлеб с отрубями, тосты",259 кКал,259 кКал,259 кКал,259 кКал
"Овсяный хлеб, тосты",292 кКал,292 кКал,292 кКал,292 кКал
Оладьи из тыквы по 1-238,158 кКал,158 кКал,158 кКал,158 кКал
"Оладьи, по 2-176",213 кКал,213 кКал,213 кКал,213 кКал
"Пампушки, с чесноком, по 1-124",299 кКал,299 кКал,299 кКал,299 кКал
Панировочные сухари,395 кКал,395 кКал,395 кКал,395 кКал
Панировочные сухари с приправами,383 кКал,383 кКал,383 кКал,383 кКал
"Паратха, индийская лепёшка из цельнозерновой пшеничной муки",326 кКал,326 кКал,326 кКал,326 кКал
"Печенья, дамские пальчики, без лимонного сока и кожуры",363 кКал,363 кКал,363 кКал,363 кКал
"Печенья, дамские пальчики, с лимонным соком и кожурой",365 кКал,365 кКал,365 кКал,365 кКал
"Печенья, крекеры, в шоколадной глазури",500 кКал,500 кКал,500 кКал,500 кКал
"Печенья, крекеры, обычные или медовые, (включаяя с корицей)",430 кКал,430 кКал,430 кКал,430 кКал
"Печенья, с шоколадной крошкой, сухая смесь",497 кКал,497 кКал,497 кКал,497 кКал
"Печенья, шоколадные вафли",433 кКал,433 кКал,433 кКал,433 кКал
"Пирог белый, приготовленный по рецепту с кокосовой глазурью",356 кКал,356 кКал,356 кКал,356 кКал
"Пирог вишневый, промышленного изготовления",260 кКал,260 кКал,260 кКал,260 кКал
"Пирог на завтрак, с пониженным содержанием жира",372 кКал,372 кКал,372 кКал,372 кКал
"Пирог с заварным кремом из кокоса, промышленного изготовления",260 кКал,260 кКал,260 кКал,260 кКал
"Пирог с кокосовым кремом, промышленного изготовления",298 кКал,298 кКал,298 кКал,298 кКал
"Пирог с черникой, промышленного изготовления",232 кКал,232 кКал,232 кКал,232 кКал
"Пирог с шоколадным кремом, промышленного изготовления",304 кКал,304 кКал,304 кКал,304 кКал
"Пирог с яичным заварным кремом, промышленного изготовления",210 кКал,210 кКал,210 кКал,210 кКал
"Пирог тыквенный, промышленного изготовления",243 кКал,243 кКал,243 кКал,243 кКал
"Пирог яблочный, промышленного изготовления, из обогащенной муки",237 кКал,237 кКал,237 кКал,237 кКал
"Пирог, белый, приготовленный по рецепту, без глазури",357 кКал,357 кКал,357 кКал,357 кКал
"Пирог, белый, сухая смесь, диетический (с запахом лимона)",397 кКал,397 кКал,397 кКал,397 кКал
"Пирог, белый, сухая смесь, пудинг, необогащенный",423 кКал,423 кКал,423 кКал,423 кКал
"Пирог, белый, сухая смесь, пудинг, обогащенный",423 кКал,423 кКал,423 кКал,423 кКал
"Пирог, вишневая сливочная помадка с шоколадной глазурью",264 кКал,264 кКал,264 кКал,264 кКал
"Пирог, вишневый, приготовленный по рецепту",270 кКал,270 кКал,270 кКал,270 кКал
"Пирог, воздушный, приготовленный по рецепту",297 кКал,297 кКал,297 кКал,297 кКал
"Пирог, воздушный, промышленного изготовления",290 кКал,290 кКал,290 кКал,290 кКал
"Пирог, желтый, приготовленный по рецепту, без глазури",361 кКал,361 кКал,361 кКал,361 кКал
"Пирог, желтый, промышленного изготовления, с ванильной глазурью",391 кКал,391 кКал,391 кКал,391 кКал
"Пирог, желтый, промышленного изготовления, с шоколадной глазурью",379 кКал,379 кКал,379 кКал,379 кКал
"Пирог, желтый, сухая смесь, легкий",404 кКал,404 кКал,404 кКал,404 кКал
"Пирог, желтый, сухая смесь, пудинг",423 кКал,423 кКал,423 кКал,423 кКал
"Пирог, желтый, сухая смесь, стандартный, необогащенный",432 кКал,432 кКал,432 кКал,432 кКал
"Пирог, желтый, сухая смесь, стандартный, обогащенный",374 кКал,374 кКал,374 кКал,374 кКал
"Пирог, из песочного теста, бисквит, приготовленный по рецепту",346 кКал,346 кКал,346 кКал,346 кКал
"Пирог, имбирный, приготовленный по рецепту",356 кКал,356 кКал,356 кКал,356 кКал
"Пирог, имбирный, сухая смесь",437 кКал,437 кКал,437 кКал,437 кКал
"Пирог, мини, с кремом и шоколадной глазурью",399 кКал,399 кКал,399 кКал,399 кКал
"Пирог, мини, с кремом, воздушный",374 кКал,374 кКал,374 кКал,374 кКал
"Пирог, перевернутый ананас, приготовленный по рецепту",319 кКал,319 кКал,319 кКал,319 кКал
"Пирог, персиковый",224 кКал,224 кКал,224 кКал,224 кКал
"Пирог, с ванильным кремом, приготовленный по рецепту",278 кКал,278 кКал,278 кКал,278 кКал
"Пирог, с черникой, приготовленный по рецепту",245 кКал,245 кКал,245 кКал,245 кКал
"Пирог, тыквенный, приготовленный по рецепту",204 кКал,204 кКал,204 кКал,204 кКал
"Пирог, фруктовый, промышленного изготовления",324 кКал,324 кКал,324 кКал,324 кКал
"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, без жира",283 кКал,283 кКал,283 кКал,283 кКал
"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, исключая все сливочные, необогащенный",389 кКал,389 кКал,389 кКал,389 кКал
"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленого изготовления, с маслом",353 кКал,353 кКал,353 кКал,353 кКал
