Продукт,Калорийность,Белки,Жиры,Углеводы
"Йогурт греческий 1,8% жирности, ягодный, CHOBANI",93 кКал,93 кКал,93 кКал,93 кКал
"Йогурт греческий 1,9% жирности, натуральный",73 кКал,73 кКал,73 кКал,73 кКал
"Йогурт греческий 1.7% жирности, абрикосовый, CHOBANI",93 кКал,93 кКал,93 кКал,93 кКал
"Йогурт греческий 2,5% жирности, ванильный",95 кКал,95 кКал,95 кКал,95 кКал
"Йогурт греческий 2,6% жирности , клубничный",105 кКал,105 кКал,105 кКал,105 кКал
"Йогурт греческий 2,9% жирности, клубничный, DANNON OIKOS",106 кКал,106 кКал,106 кКал,106 кКал
"Йогурт греческий 3% жирности, фруктовый",106 кКал,106 кКал,106 кКал,106 кКал
"Йогурт греческий 4% жирности, натуральный, CHOBANI",82 кКал,82 кКал,82 кКал,82 кКал
"Йогурт греческий 5% жирности, натуральный",97 кКал,97 кКал,97 кКал,97 кКал
Йогурт греческий обезжиренный клубничный,82 кКал,82 кКал,82 кКал,82 кКал
Йогурт греческий обезжиренный малиновый,78 кКал,78 кКал,78 кКал,78 кКал
Йогурт греческий обезжиренный натуральный,59 кКал,59 кКал,59 кКал,59 кКал
"Йогурт греческий обезжиренный, ванильный, CHOBANI",71 кКал,71 кКал,71 кКал,71 кКал
"Йогурт греческий обезжиренный, ванильный, DANNON OIKOS",85 кКал,85 кКал,85 кКал,85 кКал
"Йогурт греческий обезжиренный, клубничный, DANNON OIKOS",84 кКал,84 кКал,84 кКал,84 кКал
"Йогурт греческий обезжиренный, лимонный, CHOBANI",78 кКал,78 кКал,78 кКал,78 кКал
"Йогурт греческий обезжиренный, малиновый, CHOBANI",81 кКал,81 кКал,81 кКал,81 кКал
"Йогурт греческий обезжиренный, натуральный, CHOBANI",54 кКал,54 кКал,54 кКал,54 кКал
"Йогурт греческий обезжиренный, персиковый, CHOBANI",80 кКал,80 кКал,80 кКал,80 кКал
"Йогурт греческий обезжиренный, с гранатом, CHOBANI",80 кКал,80 кКал,80 кКал,80 кКал
"Йогурт греческий обезжиренный, с ежевикой, CHOBANI",95 кКал,95 кКал,95 кКал,95 кКал
"Йогурт греческий обезжиренный, с клубникой, CHOBANI",79 кКал,79 кКал,79 кКал,79 кКал
"Йогурт греческий обезжиренный, черничный, CHOBANI",82 кКал,82 кКал,82 кКал,82 кКал
"Йогурт замороженный, 2,5% жирности (вкусы кроме шоколадного)",139 кКал,139 кКал,139 кКал,139 кКал
"Йогурт замороженный, обезжиренный, с низкокалорийным подсластителем  (вкусы кроме шоколадного)",104 кКал,104 кКал,104 кКал,104 кКал
"Йогурт обезжиренный, 5,7% белка, натуральный",56 кКал,56 кКал,56 кКал,56 кКал
"Йогурт обезжиренный, ванильный",78 кКал,78 кКал,78 кКал,78 кКал
"Йогурт обезжиренный, ванильный или лимонный , с низкокалорийным подсластителем, с витамином D",43 кКал,43 кКал,43 кКал,43 кКал
"Йогурт обезжиренный, ванильный или лимонный, с низкокалорийным подсластителем",43 кКал,43 кКал,43 кКал,43 кКал
"Йогурт обезжиренный, фруктовый",95 кКал,95 кКал,95 кКал,95 кКал
"Йогурт обезжиренный, фруктовый, с витамином D",95 кКал,95 кКал,95 кКал,95 кКал
"Йогурт обезжиренный, шоколадный",112 кКал,112 кКал,112 кКал,112 кКал
"Йогурт обезжиренный, шоколадный, с витамином D",112 кКал,112 кКал,112 кКал,112 кКал
"Йогурт питьевой  2,5% жирности, с фруктовым наполнителем",86 кКал,86 кКал,86 кКал,86 кКал
"Йогурт питьевой 1,5% жирности, с фруктовым наполнителем",78 кКал,78 кКал,78 кКал,78 кКал
"Йогурт питьевой 1% жирности, с фруктовым наполнителем",71 кКал,71 кКал,71 кКал,71 кКал
"Йогурт питьевой клубничный 0,9% жирности, витаминизированный, LIFEWAY",62 кКал,62 кКал,62 кКал,62 кКал
Йогурт сублимационной сушки,534 кКал,534 кКал,534 кКал,534 кКал
"Йогурт сублимационной сушки, плодово-ягодный",484 кКал,484 кКал,484 кКал,484 кКал
"Йогурт сублимационной сушки, сладкий",491 кКал,491 кКал,491 кКал,491 кКал
"Какао с молоком, напиток",77 кКал,77 кКал,77 кКал,77 кКал
"Какао со сгущенным молоком и сахаром, консервы",321 кКал,321 кКал,321 кКал,321 кКал
"Какао со сгущенными сливками, консервы",356 кКал,356 кКал,356 кКал,356 кКал
Кефир 1% жирности,40 кКал,40 кКал,40 кКал,40 кКал
"Кефир 1% жирности, витаминизированный, LIFEWAY",43 кКал,43 кКал,43 кКал,43 кКал
"Кефир 2,5% жирности",53 кКал,53 кКал,53 кКал,53 кКал
"Кефир 3,2% жирности",59 кКал,59 кКал,59 кКал,59 кКал
Кефир обезжиренный,31 кКал,31 кКал,31 кКал,31 кКал
"Кислая сквашенная кремовая заправка, без молочного жира",178 кКал,178 кКал,178 кКал,178 кКал
