Продукт,Калорийность,Белки,Жиры,Углеводы
Крем ягодный,"179,6 кКал","179,6 кКал","179,6 кКал","179,6 кКал"
Крем-крокант,"199,8 кКал","199,8 кКал","199,8 кКал","199,8 кКал"
Крем-мокко,"193,9 кКал","193,9 кКал","193,9 кКал","193,9 кКал"
Кулага,"92,7 кКал","92,7 кКал","92,7 кКал","92,7 кКал"
Лантутики,"227,9 кКал","227,9 кКал","227,9 кКал","227,9 кКал"
Лимонное пирожное,"219,9 кКал","219,9 кКал","219,9 кКал","219,9 кКал"
Лимонный крем,"177,4 кКал","177,4 кКал","177,4 кКал","177,4 кКал"
Лимонный снежок,"218,6 кКал","218,6 кКал","218,6 кКал","218,6 кКал"
Лимонный соус,"149,9 кКал","149,9 кКал","149,9 кКал","149,9 кКал"
Лимонный соус,"173,1 кКал","173,1 кКал","173,1 кКал","173,1 кКал"
Лимонный соус,56 кКал,56 кКал,56 кКал,56 кКал
Лимонный творог,"238,7 кКал","238,7 кКал","238,7 кКал","238,7 кКал"
"Малина или земляника с молоком, сметаной или сливками","78,9 кКал","78,9 кКал","78,9 кКал","78,9 кКал"
Мармелад из абрикосов,"198,9 кКал","198,9 кКал","198,9 кКал","198,9 кКал"
Мармелад из абрикосов в кожице,"183,6 кКал","183,6 кКал","183,6 кКал","183,6 кКал"
Мармелад из брусники и яблок,"112,7 кКал","112,7 кКал","112,7 кКал","112,7 кКал"
Мармелад из черники,"57,6 кКал","57,6 кКал","57,6 кКал","57,6 кКал"
Медовая горка,"270,4 кКал","270,4 кКал","270,4 кКал","270,4 кКал"
"Мороженое ""Сюрприз""","194,3 кКал","194,3 кКал","194,3 кКал","194,3 кКал"
Мороженое с плодами или ягодами консервированными,"222,9 кКал","222,9 кКал","222,9 кКал","222,9 кКал"
Мусс из растворимого кофе,"104,3 кКал","104,3 кКал","104,3 кКал","104,3 кКал"
Мусс из ревеня,"87,6 кКал","87,6 кКал","87,6 кКал","87,6 кКал"
Мусс из ржаной муки,"94,9 кКал","94,9 кКал","94,9 кКал","94,9 кКал"
Мусс из смородины,"113,3 кКал","113,3 кКал","113,3 кКал","113,3 кКал"
Мусс из тыквы,"91,7 кКал","91,7 кКал","91,7 кКал","91,7 кКал"
Мусс клюквенный,"81,9 кКал","81,9 кКал","81,9 кКал","81,9 кКал"
Мусс лимонный,"115,1 кКал","115,1 кКал","115,1 кКал","115,1 кКал"
Мусс яблочный (на крупе манной),"81,1 кКал","81,1 кКал","81,1 кКал","81,1 кКал"
Оладьи,"201,1 кКал","201,1 кКал","201,1 кКал","201,1 кКал"
Оладьи,"322,2 кКал","322,2 кКал","322,2 кКал","322,2 кКал"
Оладьи из моркови,"141,2 кКал","141,2 кКал","141,2 кКал","141,2 кКал"
Оладьи из тыквы,"180,2 кКал","180,2 кКал","180,2 кКал","180,2 кКал"
Оладьи с изюмом,"334,9 кКал","334,9 кКал","334,9 кКал","334,9 кКал"
Оладьи с яблоками,"113,8 кКал","113,8 кКал","113,8 кКал","113,8 кКал"
Оладьи с яблоками,"306,2 кКал","306,2 кКал","306,2 кКал","306,2 кКал"
Омлет с  яблоками,"121,4 кКал","121,4 кКал","121,4 кКал","121,4 кКал"
Омлет с яблоками,"177,7 кКал","177,7 кКал","177,7 кКал","177,7 кКал"
Омлет с яблоками,86 кКал,86 кКал,86 кКал,86 кКал
Ореховый крем,"105,9 кКал","105,9 кКал","105,9 кКал","105,9 кКал"
Орешки творожные по-русски,"271,2 кКал","271,2 кКал","271,2 кКал","271,2 кКал"
Пастила из ежевики,174 кКал,174 кКал,174 кКал,174 кКал
Пастила из калины,"197,5 кКал","197,5 кКал","197,5 кКал","197,5 кКал"
"Пирожное ""Кокетка""","418,1 кКал","418,1 кКал","418,1 кКал","418,1 кКал"
Плавающие острова,"94,9 кКал","94,9 кКал","94,9 кКал","94,9 кКал"
Пудинг из ревеня,187 кКал,187 кКал,187 кКал,187 кКал
Пудинг из риса и ревеня,155 кКал,155 кКал,155 кКал,155 кКал
Пудинг из сыра,"184,2 кКал","184,2 кКал","184,2 кКал","184,2 кКал"
"Пудинг из творога, запеченный","312,5 кКал","312,5 кКал","312,5 кКал","312,5 кКал"
Пудинг на сметане,"254,3 кКал","254,3 кКал","254,3 кКал","254,3 кКал"
