Продукт,Калорийность,Белки,Жиры,Углеводы
"Лук-шалот, сублимированный",348 кКал,348 кКал,348 кКал,348 кКал
Луковый порошок,341 кКал,341 кКал,341 кКал,341 кКал
"Майонез «Провансаль», 67% жирности",629 кКал,629 кКал,629 кКал,629 кКал
"Майонез легкий  ""Mayo Light"" компании KRAFT",334 кКал,334 кКал,334 кКал,334 кКал
"Майонез легкий, 22% жирности",238 кКал,238 кКал,238 кКал,238 кКал
"Майонез на основе соевого масла, без соли",717 кКал,717 кКал,717 кКал,717 кКал
Майонез низкокалорийный,263 кКал,263 кКал,263 кКал,263 кКал
Майонез с тофу,322 кКал,322 кКал,322 кКал,322 кКал
"Майонез столовый молочный, 67% жирности",627 кКал,627 кКал,627 кКал,627 кКал
"Майонез, 33% жирности, без холестерина",333 кКал,333 кКал,333 кКал,333 кКал
"Майонез, 40% жирности, с оливковым маслом",361 кКал,361 кКал,361 кКал,361 кКал
"Майонез, 78% жирности, без холестерина",688 кКал,688 кКал,688 кКал,688 кКал
"Майонез, лекгий, SMART BALANCE, Omega Plus light, 34% жира",333 кКал,333 кКал,333 кКал,333 кКал
"Майонез, обезжиренный",84 кКал,84 кКал,84 кКал,84 кКал
"Майонез, с соевым и сафлоровым маслом и солью",717 кКал,717 кКал,717 кКал,717 кКал
"Майонез, с соевым маслом и солью",680 кКал,680 кКал,680 кКал,680 кКал
"Майонез, с солью",250 кКал,250 кКал,250 кКал,250 кКал
"Майонез,19% жирности, безсолевой, низкокалорийный или диетический",231 кКал,231 кКал,231 кКал,231 кКал
"Майоран, сушеный",271 кКал,271 кКал,271 кКал,271 кКал
Маннит,376 кКал,376 кКал,376 кКал,376 кКал
Маринад овощной без томата по 2-106,134 кКал,134 кКал,134 кКал,134 кКал
"Мускатный орех, молотый",525 кКал,525 кКал,525 кКал,525 кКал
"Мускатный цвет, молотый",475 кКал,475 кКал,475 кКал,475 кКал
"Мята колосистая, свежая",44 кКал,44 кКал,44 кКал,44 кКал
"Мята колосистая, сушеная",285 кКал,285 кКал,285 кКал,285 кКал
"Мята перечная, свежая",70 кКал,70 кКал,70 кКал,70 кКал
"Орегано, сушеный",265 кКал,265 кКал,265 кКал,265 кКал
"Пажитник, семена",323 кКал,323 кКал,323 кКал,323 кКал
"Паприка, перец сладкий молотый",282 кКал,282 кКал,282 кКал,282 кКал
Паста для сэндвичей с порезанными маринованными огурцами на масляной основе,389 кКал,389 кКал,389 кКал,389 кКал
Перец белый,296 кКал,296 кКал,296 кКал,296 кКал
"Перец душистый, молотый",263 кКал,263 кКал,263 кКал,263 кКал
Перец красный молотый острый,318 кКал,318 кКал,318 кКал,318 кКал
"Перец черный,  молотый или горошек",251 кКал,251 кКал,251 кКал,251 кКал
Петрушка сушеная,292 кКал,292 кКал,292 кКал,292 кКал
Пищевая сода,0 кКал,0 кКал,0 кКал,0 кКал
Приправа для птицы,307 кКал,307 кКал,307 кКал,307 кКал
Приправа для тыквенного пирога,342 кКал,342 кКал,342 кКал,342 кКал
Рассол соли,0 кКал,0 кКал,0 кКал,0 кКал
"Розмарин, свежий",131 кКал,131 кКал,131 кКал,131 кКал
"Розмарин, сушеный",331 кКал,331 кКал,331 кКал,331 кКал
Сельдерей корень сушеный,191 кКал,191 кКал,191 кКал,191 кКал
"Сельдерей, семя",392 кКал,392 кКал,392 кКал,392 кКал
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная",160 кКал,160 кКал,160 кКал,160 кКал
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, без холестерина",140 кКал,140 кКал,140 кКал,140 кКал
"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, обезжиренная",107 кКал,107 кКал,107 кКал,107 кКал
Соевый соус,53 кКал,53 кКал,53 кКал,53 кКал
"Соевый соус, из гидролизованного овощного белка",60 кКал,60 кКал,60 кКал,60 кКал
"Соевый соус, из гидролизованного овощного белка, с пониженным содержанием нартия",90 кКал,90 кКал,90 кКал,90 кКал
"Соевый соус, с пониженным содержанием нартия",57 кКал,57 кКал,57 кКал,57 кКал
"Соевый соус, тамари (только из сои, без пшеничной муки)",60 кКал,60 кКал,60 кКал,60 кКал
Соль поваренная пищевая,0 кКал,0 кКал,0 кКал,0 кКал
Соль столовая,0 кКал,0 кКал,0 кКал,0 кКал
Соус белый основной по 2-82,56 кКал,56 кКал,56 кКал,56 кКал
Соус грибной по 2-96,82 кКал,82 кКал,82 кКал,82 кКал
Соус кисло-сладкий,15 кКал,15 кКал,15 кКал,15 кКал
Соус клюквенный по 2-112,51 кКал,51 кКал,51 кКал,51 кКал
Соус красный основной по 2-74,48 кКал,48 кКал,48 кКал,48 кКал
Соус луковый по 2-76,75 кКал,75 кКал,75 кКал,75 кКал
Соус майонез со сметаной по 2-102,312 кКал,312 кКал,312 кКал,312 кКал
"Соус маковый, кремовый",399 кКал,399 кКал,399 кКал,399 кКал
Соус медово-горчичный,464 кКал,464 кКал,464 кКал,464 кКал
Соус медово-горчичный обезжиренный,169 кКал,169 кКал,169 кКал,169 кКал
Соус молочный по 2-92,84 кКал,84 кКал,84 кКал,84 кКал
"Соус песто, готовый к употреблению, длительного хранения",426 кКал,426 кКал,426 кКал,426 кКал
"Соус песто, готовый к употреблению, охлажденный",418 кКал,418 кКал,418 кКал,418 кКал
Соус польский по 2-98,78 кКал,78 кКал,78 кКал,78 кКал
Соус с хреном по 2-104,27 кКал,27 кКал,27 кКал,27 кКал
Соус сметанный по 2-94,78 кКал,78 кКал,78 кКал,78 кКал
Соус Табаско с остым перцем,12 кКал,12 кКал,12 кКал,12 кКал
Соус томатный острый,99 кКал,99 кКал,99 кКал,99 кКал
Соус томатный по 2-84,80 кКал,80 кКал,80 кКал,80 кКал
Соус черносмородиновый по 2-110,275 кКал,275 кКал,275 кКал,275 кКал
Соус чили шрирача,93 кКал,93 кКал,93 кКал,93 кКал
"Тимьян, свежий",101 кКал,101 кКал,101 кКал,101 кКал
"Тимьян, сушеный",276 кКал,276 кКал,276 кКал,276 кКал
"Тмин, семена",333 кКал,333 кКал,333 кКал,333 кКал
"Укроп, семена",305 кКал,305 кКал,305 кКал,305 кКал
"Укроп, сушеный",253 кКал,253 кКал,253 кКал,253 кКал
Уксус бальзамический,88 кКал,88 кКал,88 кКал,88 кКал
Уксус винный 3%,9 кКал,9 кКал,9 кКал,9 кКал
"Уксус винный, красный",19 кКал,19 кКал,19 кКал,19 кКал
Уксус спиртовой,18 кКал,18 кКал,18 кКал,18 кКал
Уксус столовый 9%,32 кКал,32 кКал,32 кКал,32 кКал
Уксус яблочный,21 кКал,21 кКал,21 кКал,21 кКал
"Фенхель, семена",345 кКал,345 кКал,345 кКал,345 кКал
"Хрен, корень",59 кКал,59 кКал,59 кКал,59 кКал
"Хрен, соус приготовленный",48 кКал,48 кКал,48 кКал,48 кКал
"Чабер, молотый",272 кКал,272 кКал,272 кКал,272 кКал
"Чеснок, порошок",331 кКал,331 кКал,331 кКал,331 кКал
"Чили, порошок",282 кКал,282 кКал,282 кКал,282 кКал
"Шалфей, молотый",315 кКал,315 кКал,315 кКал,315 кКал
Шафран,310 кКал,310 кКал,310 кКал,310 кКал
"Эстрагон (тархун), зелень свежая","24,8 кКал","24,8 кКал","24,8 кКал","24,8 кКал"
"Эстрагон, сушеный",295 кКал,295 кКал,295 кКал,295 кКал
