Продукт,Калорийность,Белки,Жиры,Углеводы
"LITTLE CAESARS, пицца с паперони ""Pepperoni Pizza"", на большом замороженном корже, 14 дюймов",265 кКал,265 кКал,265 кКал,265 кКал
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на большом замороженном корже, 14 дюймов",263 кКал,263 кКал,263 кКал,263 кКал
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на тонком корже, 14 дюймов",309 кКал,309 кКал,309 кКал,309 кКал
"LITTLE CAESARS, сырная пицца ""Original Round Cheese Pizza"", на стандартном корже, 14 дюймов",265 кКал,265 кКал,265 кКал,265 кКал
"McDONALD'S, ""BIG MAC""",257 кКал,257 кКал,257 кКал,257 кКал
"McDONALD'S, ""BIG MAC"" (без соуса Big Mac)",234 кКал,234 кКал,234 кКал,234 кКал
"McDONALD'S, ""Chicken McNUGGETS""",302 кКал,302 кКал,302 кКал,302 кКал
"McDONALD'S, бисквит с беконом, яйцом и сыром",304 кКал,304 кКал,304 кКал,304 кКал
"McDONALD'S, бисквит с котлетой",376 кКал,376 кКал,376 кКал,376 кКал
"McDONALD'S, бисквит с котлетой и яйцом",311 кКал,311 кКал,311 кКал,311 кКал
"McDONALD'S, буррито с котлетой",262 кКал,262 кКал,262 кКал,262 кКал
"McDONALD'S, гамбургер",264 кКал,264 кКал,264 кКал,264 кКал
"McDONALD'S, готовые завтраки ""BIG BREAKFAST""",285 кКал,285 кКал,285 кКал,285 кКал
"McDONALD'S, двойной сэндвич ""QUARTER POUNDER"" с сыром",262 кКал,262 кКал,262 кКал,262 кКал
"McDONALD'S, двойной чизбургер",282 кКал,282 кКал,282 кКал,282 кКал
"McDONALD'S, драники",262 кКал,262 кКал,262 кКал,262 кКал
"McDONALD'S, завтрак ""Deluxe"", с сиропом и маргарином",285 кКал,285 кКал,285 кКал,285 кКал
"McDONALD'S, йогуртово-фруктовое Парфе",105 кКал,105 кКал,105 кКал,105 кКал
"McDONALD'S, йогуртово-фруктовое Парфе (без гранолы)",90 кКал,90 кКал,90 кКал,90 кКал
"McDONALD'S, картошка фри",323 кКал,323 кКал,323 кКал,323 кКал
"McDONALD'S, котлета McGRIDDLES",312 кКал,312 кКал,312 кКал,312 кКал
"McDONALD'S, котлета McMuffin",333 кКал,333 кКал,333 кКал,333 кКал
"McDONALD'S, котлета McMuffin с яйцом",274 кКал,274 кКал,274 кКал,274 кКал
"McDONALD'S, котлета McMuffin с яйцом и сыром",283 кКал,283 кКал,283 кКал,283 кКал
"McDONALD'S, мороженное ""McFLURRY"" с конфетами ""M and M'S""",177 кКал,177 кКал,177 кКал,177 кКал
"McDONALD'S, мороженное ""McFLURRY"" с печеньем ""OREO""",165 кКал,165 кКал,165 кКал,165 кКал
"McDONALD'S, обезжиренное ванильное мороженое, рожок",162 кКал,162 кКал,162 кКал,162 кКал
"McDONALD'S, оладьи",228 кКал,228 кКал,228 кКал,228 кКал
"McDONALD'S, оладьи (с двумя шариками масла и сиропом)",272 кКал,272 кКал,272 кКал,272 кКал
"McDONALD'S, оладьи с сосисками",294 кКал,294 кКал,294 кКал,294 кКал
"McDONALD'S, пломбир клубничный",158 кКал,158 кКал,158 кКал,158 кКал
"McDONALD'S, пломбир с горячей карамелью",188 кКал,188 кКал,188 кКал,188 кКал
"McDONALD'S, пломбир с горячей помадкой",186 кКал,186 кКал,186 кКал,186 кКал
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH""",282 кКал,282 кКал,282 кКал,282 кКал
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH"" (без соуса тартар)",243 кКал,243 кКал,243 кКал,243 кКал
"McDONALD'S, салат с беконом и хрустящей курятиной ""Bacon Ranch Salad""",122 кКал,122 кКал,122 кКал,122 кКал
"McDONALD'S, сэндвич ""McCHICKEN"" (без майонеза)",240 кКал,240 кКал,240 кКал,240 кКал
"McDONALD'S, сэндвич ""McMUFFIN"" с яйцом",228 кКал,228 кКал,228 кКал,228 кКал
"McDONALD'S, сэндвич ""QUARTER POUNDER""",244 кКал,244 кКал,244 кКал,244 кКал
"McDONALD'S, сэндвич ""QUARTER POUNDER"" (с сыром)",258 кКал,258 кКал,258 кКал,258 кКал
"McDONALD'S, сэндвич с беконом, яйцом и сыром ""McGRIDDLES""",272 кКал,272 кКал,272 кКал,272 кКал
"McDONALD'S, чизбургер",263 кКал,263 кКал,263 кКал,263 кКал
"PAPA JOHN'S, пицца ""Works Pizza"", на фирменном корже, 14 дюймов",240 кКал,240 кКал,240 кКал,240 кКал
"PAPA JOHN'S, пицца с паперони ""Pepperoni Pizza"", на оригинальном корже, 14 дюймов",275 кКал,275 кКал,275 кКал,275 кКал
"PAPA JOHN'S, сырная пицца ""Cheese Pizza"", на оригинальмом корже, 14 дюймов",260 кКал,260 кКал,260 кКал,260 кКал
"PAPA JOHN'S, сырная пицца ""Cheese Pizza"", на тонком корже, 14 дюймов",295 кКал,295 кКал,295 кКал,295 кКал
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 12 дюймов",243 кКал,243 кКал,243 кКал,243 кКал
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 14 дюймов",248 кКал,248 кКал,248 кКал,248 кКал
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 12 дюймов",280 кКал,280 кКал,280 кКал,280 кКал
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 14 дюймов",291 кКал,291 кКал,291 кКал,291 кКал
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 12 дюймов",298 кКал,298 кКал,298 кКал,298 кКал
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 14 дюймов",291 кКал,291 кКал,291 кКал,291 кКал
