Продукт,Калорийность,Белки,Жиры,Углеводы
"Кукурузная мука желтая грубого помола, беззародышевая",370 кКал,370 кКал,370 кКал,370 кКал
"Кукурузная мука желтая грубого помола, беззародышевая, обогащенная",370 кКал,370 кКал,370 кКал,370 кКал
"Кукурузная мука желтая грубого помола, самоподнимающаяся, беззародышевая, обогащенная",355 кКал,355 кКал,355 кКал,355 кКал
"Кукурузная мука желтая грубого помола, самоподнимающаяся, просеянная, обогащенная",334 кКал,334 кКал,334 кКал,334 кКал
"Кукурузная мука желтая грубого помола, самоподнимающаяся, просеянная, с добавлением пшеничной муки, обогащенная",348 кКал,348 кКал,348 кКал,348 кКал
"Кукурузная мука желтая грубого помола, цельнозерновая",362 кКал,362 кКал,362 кКал,362 кКал
"Кукурузная мука желтая тонкого помола, беззародышевая",375 кКал,375 кКал,375 кКал,375 кКал
"Кукурузная мука желтая тонкого помола, цельнозерновая",361 кКал,361 кКал,361 кКал,361 кКал
"Кукурузная мука желтая, маса (из никстамализированного зерна), обогащенная",363 кКал,363 кКал,363 кКал,363 кКал
"Кукурузная мука фиолетовая тонкого помола, цельнозерновая, (маиз морадо)",364 кКал,364 кКал,364 кКал,364 кКал
"Кукурузная мука, голубая (Навахо)",398 кКал,398 кКал,398 кКал,398 кКал
Кукурузные отруби,224 кКал,224 кКал,224 кКал,224 кКал
Кукурузные хлопья,360 кКал,360 кКал,360 кКал,360 кКал
"Кукурузные хлопья, Ральстон Корн Флэйкс",384 кКал,384 кКал,384 кКал,384 кКал
Кукурузный крахмал,343 кКал,343 кКал,343 кКал,343 кКал
Кукурузный крахмал,381 кКал,381 кКал,381 кКал,381 кКал
Кукурузный пудинг домашнего приготовления,131 кКал,131 кКал,131 кКал,131 кКал
"Кускус (кус-кус), приготовленный",112 кКал,112 кКал,112 кКал,112 кКал
"Кускус (кус-кус), сухой",376 кКал,376 кКал,376 кКал,376 кКал
"Лапша домашняя, по 2-198",322 кКал,322 кКал,322 кКал,322 кКал
"Лапша китайская, плоская, хрустящая",521 кКал,521 кКал,521 кКал,521 кКал
"Лапша китайская, чоу мейн",471 кКал,471 кКал,471 кКал,471 кКал
"Лапша яичная со шпинатом, обогащенная, приготовленная",132 кКал,132 кКал,132 кКал,132 кКал
"Лапша яичная со шпинатом, обогащенная, сухая",382 кКал,382 кКал,382 кКал,382 кКал
"Лапша яичная, обогащенная, приготовленная",138 кКал,138 кКал,138 кКал,138 кКал
"Лапша яичная, обогащенная, приготовленная с добавлением соли",138 кКал,138 кКал,138 кКал,138 кКал
"Лапша яичная, обогащенная, сухая",384 кКал,384 кКал,384 кКал,384 кКал
"Лапша яичная, приготовленная, без соли",138 кКал,138 кКал,138 кКал,138 кКал
"Лапша яичная, приготовленная, с солью",138 кКал,138 кКал,138 кКал,138 кКал
"Лапша яичная, сухая",384 кКал,384 кКал,384 кКал,384 кКал
"Лапша японская, соба, приготовленная",99 кКал,99 кКал,99 кКал,99 кКал
"Лапша японская, соба, сухая",336 кКал,336 кКал,336 кКал,336 кКал
"Лапша японская, сомен, приготовленная",131 кКал,131 кКал,131 кКал,131 кКал
"Лапша японская, сомен, сухая",356 кКал,356 кКал,356 кКал,356 кКал
"Лапшевник с творогом, по 1-308",180 кКал,180 кКал,180 кКал,180 кКал
"Макароны запеченные с яйцом, по 1 -306",152 кКал,152 кКал,152 кКал,152 кКал
Макароны из муки 1 сорта,333 кКал,333 кКал,333 кКал,333 кКал
Макароны из муки высшего сорта,338 кКал,338 кКал,338 кКал,338 кКал
"Макароны из муки высшего сорта, витаминизированные",337 кКал,337 кКал,337 кКал,337 кКал
"Макароны из муки высшего сорта, молочные",345 кКал,345 кКал,345 кКал,345 кКал
"Макароны из муки высшего сорта, яичные",342 кКал,342 кКал,342 кКал,342 кКал
"Макароны отварные с жиром, по 1-304",135 кКал,135 кКал,135 кКал,135 кКал
"Макароны отварные, по 1-302",98 кКал,98 кКал,98 кКал,98 кКал
"Макароны с овощами, обогащенные, приготовленные",128 кКал,128 кКал,128 кКал,128 кКал
"Макароны с овощами, обогащенные, сухие",367 кКал,367 кКал,367 кКал,367 кКал
