Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Обед, говядина, лазанья, для детей, начинающих ходить",77 кКал,77 кКал,77 кКал,77 кКал
"Детское питание, Обед, индейка с овощами, пюре",48 кКал,48 кКал,48 кКал,48 кКал
"Детское питание, Обед, индейка с рисом и овощами, для детей, начинающих ходить",60 кКал,60 кКал,60 кКал,60 кКал
"Детское питание, Обед, индейка с рисом, пюре",52 кКал,52 кКал,52 кКал,52 кКал
"Детское питание, Обед, картофель, с сыром и ветчиной, для детей, начинающих ходить",78 кКал,78 кКал,78 кКал,78 кКал
"Детское питание, Обед, куриный суп, пюре",50 кКал,50 кКал,50 кКал,50 кКал
"Детское питание, Обед, курица с рисом",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Обед, лапша с говядиной, для детей, раннего возраста",57 кКал,57 кКал,57 кКал,57 кКал
"Детское питание, Обед, лапша с говядиной, пюре",63 кКал,63 кКал,63 кКал,63 кКал
"Детское питание, Обед, лапша с курицей, пюре",74 кКал,74 кКал,74 кКал,74 кКал
"Детское питание, Обед, макароны с сыром, для детей, начинающих ходить",82 кКал,82 кКал,82 кКал,82 кКал
"Детское питание, Обед, макароны с сыром, пюре",67 кКал,67 кКал,67 кКал,67 кКал
"Детское питание, Обед, макароны, говядина в томатном соусе, для детей, начинающих ходить",82 кКал,82 кКал,82 кКал,82 кКал
"Детское питание, Обед, овощи с беконом, пюре",69 кКал,69 кКал,69 кКал,69 кКал
"Детское питание, Обед, овощи с ветчиной, пюре",59 кКал,59 кКал,59 кКал,59 кКал
"Детское питание, Обед, овощи с говядиной, пюре",77 кКал,77 кКал,77 кКал,77 кКал
"Детское питание, Обед, овощи с клецками и говядиной, пюре",48 кКал,48 кКал,48 кКал,48 кКал
"Детское питание, Обед, овощи с лапшой и индейкой, пюре",44 кКал,44 кКал,44 кКал,44 кКал
"Детское питание, Обед, овощи с мясом ягненка, пюре",52 кКал,52 кКал,52 кКал,52 кКал
"Детское питание, Обед, овощи, лапша с курицей, пюре",63 кКал,63 кКал,63 кКал,63 кКал
"Детское питание, Обед, паста (макаронные изделия), с овощами",60 кКал,60 кКал,60 кКал,60 кКал
"Детское питание, Обед, рагу из говядины, для детей, начинающих ходить",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Обед, рагу из цыпленка, для детей, начинающих ходить",78 кКал,78 кКал,78 кКал,78 кКал
"Детское питание, Обед, сладкий картофель (батат) с курицей, пюре",74 кКал,74 кКал,74 кКал,74 кКал
"Детское питание, Обед, смесь овощей, пюре",41 кКал,41 кКал,41 кКал,41 кКал
"Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для детей, начинающих ходить",75 кКал,75 кКал,75 кКал,75 кКал
"Детское питание, Обед, цыпленок с овощами, пюре",59 кКал,59 кКал,59 кКал,59 кКал
"Детское питание, Обогащенная злаковая плитка, с фруктовым наполнителем",344 кКал,344 кКал,344 кКал,344 кКал
"Детское питание, Овощи и коричневый рис, пюре",69 кКал,69 кКал,69 кКал,69 кКал
"Детское питание, Овощи, горошек, пюре",50 кКал,50 кКал,50 кКал,50 кКал
"Детское питание, Овощи, зеленая фасоль и картофель",62 кКал,62 кКал,62 кКал,62 кКал
"Детское питание, Овощи, зеленая фасоль, пюре",27 кКал,27 кКал,27 кКал,27 кКал
"Детское питание, Овощи, кукуруза, протертая, пюре",57 кКал,57 кКал,57 кКал,57 кКал
"Детское питание, Овощи, морковь, пюре",26 кКал,26 кКал,26 кКал,26 кКал
"Детское питание, Овощи, мускатная тыква и кукуруза",50 кКал,50 кКал,50 кКал,50 кКал
"Детское питание, Овощи, овощная смесь, пюре",36 кКал,36 кКал,36 кКал,36 кКал
"Детское питание, Овощи, с грядки, пюре",32 кКал,32 кКал,32 кКал,32 кКал
"Детское питание, Овощи, свекла, пюре",34 кКал,34 кКал,34 кКал,34 кКал
"Детское питание, Овощи, сквош (тыква или кабачок или патиссон), пюре",28 кКал,28 кКал,28 кКал,28 кКал
"Детское питание, Овощи, сладкий картофель (батат), пюре",57 кКал,57 кКал,57 кКал,57 кКал
"Детское питание, Овощи, шпинат, протертый, пюре",37 кКал,37 кКал,37 кКал,37 кКал
"Детское питание, Овсянка с фруктами, сухая, быстрого приготовления, для детей, начинающих ходить",402 кКал,402 кКал,402 кКал,402 кКал
"Детское питание, Персики, кубики, для детей, начинающих ходить",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Печеные продукты, хлебные палочки",421 кКал,421 кКал,421 кКал,421 кКал
"Детское питание, Печенье",433 кКал,433 кКал,433 кКал,433 кКал
