Продукт,Калорийность,Белки,Жиры,Углеводы
"Брюссельская капуста, вареная, без соли",36 кКал,36 кКал,36 кКал,36 кКал
"Брюссельская капуста, вареная, с солью",36 кКал,36 кКал,36 кКал,36 кКал
"Брюссельская капуста, замороженная, вареная, без соли",42 кКал,42 кКал,42 кКал,42 кКал
"Брюссельская капуста, замороженная, вареная, с солью",42 кКал,42 кКал,42 кКал,42 кКал
"Брюссельская капуста, замороженная, неприготовленная",41 кКал,41 кКал,41 кКал,41 кКал
"Брюссельская капуста, сырая",43 кКал,43 кКал,43 кКал,43 кКал
"Валерианелла, сырая",21 кКал,21 кКал,21 кКал,21 кКал
"Вассаби, корень, сырой",109 кКал,109 кКал,109 кКал,109 кКал
"Виноградные листья, консервированные",69 кКал,69 кКал,69 кКал,69 кКал
"Виноградные листья, сырые",93 кКал,93 кКал,93 кКал,93 кКал
Водный шпинат (болотная капуста),19 кКал,19 кКал,19 кКал,19 кКал
"Водный шпинат (болотная капуста) вареный, без соли",20 кКал,20 кКал,20 кКал,20 кКал
"Водный шпинат (болотная капуста) вареный, с солью",20 кКал,20 кКал,20 кКал,20 кКал
Водяной кресс (жеруха),11 кКал,11 кКал,11 кКал,11 кКал
"Восковая тыква, вареная, без соли",14 кКал,14 кКал,14 кКал,14 кКал
"Восковая тыква, вареная, с солью",11 кКал,11 кКал,11 кКал,11 кКал
"Восковая тыква, сырая",13 кКал,13 кКал,13 кКал,13 кКал
Голубцы овощные по 1-256,95 кКал,95 кКал,95 кКал,95 кКал
"Горох и лук, замороженные, вареные, без соли",45 кКал,45 кКал,45 кКал,45 кКал
"Горох и лук, замороженные, вареные, с солью",45 кКал,45 кКал,45 кКал,45 кКал
"Горох и лук, замороженные, неприготовленные",70 кКал,70 кКал,70 кКал,70 кКал
"Горох и лук, консервированные",51 кКал,51 кКал,51 кКал,51 кКал
"Горох и морковь, замороженные, вареные, без соли",48 кКал,48 кКал,48 кКал,48 кКал
"Горох и морковь, замороженные, вареные, с солью",48 кКал,48 кКал,48 кКал,48 кКал
"Горох и морковь, замороженные, неприготовленные",53 кКал,53 кКал,53 кКал,53 кКал
"Горох и морковь, консервированные, без добавления соли",38 кКал,38 кКал,38 кКал,38 кКал
"Горох и морковь, консервированные, стандартная упаковка",38 кКал,38 кКал,38 кКал,38 кКал
"Горчица листовая, вареная, без соли",26 кКал,26 кКал,26 кКал,26 кКал
"Горчица листовая, вареная, с солью",26 кКал,26 кКал,26 кКал,26 кКал
"Горчица листовая, замороженная, вареная, без соли",19 кКал,19 кКал,19 кКал,19 кКал
"Горчица листовая, замороженная, вареная, с солью",19 кКал,19 кКал,19 кКал,19 кКал
"Горчица листовая, замороженная, неприготовленная",20 кКал,20 кКал,20 кКал,20 кКал
"Горчица листовая, сырая",27 кКал,27 кКал,27 кКал,27 кКал
"Горчица шпинатная, вареная, без соли",16 кКал,16 кКал,16 кКал,16 кКал
"Горчица шпинатная, вареная, с солью",16 кКал,16 кКал,16 кКал,16 кКал
"Горчица шпинатная, сырая",22 кКал,22 кКал,22 кКал,22 кКал
Гратен из картофеля,134 кКал,134 кКал,134 кКал,134 кКал
"Гратен из картофеля, домашнего приготовления по рецепту с добавлением маргарина",132 кКал,132 кКал,132 кКал,132 кКал
"Гратен из картофеля, сухая смесь, неприготовленный",314 кКал,314 кКал,314 кКал,314 кКал
"Гратен из картофеля, сухая смесь, приготовленный с добавлением воды, молока и масла",93 кКал,93 кКал,93 кКал,93 кКал
"Грифола курчавая, гриб-баран, мейтаке",31 кКал,31 кКал,31 кКал,31 кКал
"Джут длинноплодный, вареный, без соли",37 кКал,37 кКал,37 кКал,37 кКал
"Джут длинноплодный, вареный, с солью",37 кКал,37 кКал,37 кКал,37 кКал
"Джут длинноплодный, сырой",34 кКал,34 кКал,34 кКал,34 кКал
Драники картофельные по 1-242,127 кКал,127 кКал,127 кКал,127 кКал
"Желуди, тушеные, апачи",95 кКал,95 кКал,95 кКал,95 кКал
"Закуска чау-чау, маринованные огурцы и овощи с горчицей, сладкая",121 кКал,121 кКал,121 кКал,121 кКал
Запеканка из тыквы по 1-254,137 кКал,137 кКал,137 кКал,137 кКал
Запеканка капустная по 1-248,114 кКал,114 кКал,114 кКал,114 кКал
Запеканка картофельная с овощами по 1-248,136 кКал,136 кКал,136 кКал,136 кКал
"Зелень кориандра (кинза), сырая",23 кКал,23 кКал,23 кКал,23 кКал
Икра баклажановая. Консервы,148 кКал,148 кКал,148 кКал,148 кКал
Икра кабачковая по 1-92,78 кКал,78 кКал,78 кКал,78 кКал
Икра кабачковая. Консервы,119 кКал,119 кКал,119 кКал,119 кКал
Икра свекольная по 1-96,119 кКал,119 кКал,119 кКал,119 кКал
"Имбиря корень маринованный, консервированный, с искуственным подсластителем",20 кКал,20 кКал,20 кКал,20 кКал
Имбиря корень сырой,80 кКал,80 кКал,80 кКал,80 кКал
Кабачки жареные по 1-238,88 кКал,88 кКал,88 кКал,88 кКал
Кабачки запеченные по 1-258,140 кКал,140 кКал,140 кКал,140 кКал
Кабачки припущенные по 1-216,39 кКал,39 кКал,39 кКал,39 кКал
Кабачки тушенные в сметане по 2-52,69 кКал,69 кКал,69 кКал,69 кКал
Кабачки фаршированные овощами по 1-94,130 кКал,130 кКал,130 кКал,130 кКал
Кабачок,24 кКал,24 кКал,24 кКал,24 кКал
Кабачок желтый,19 кКал,19 кКал,19 кКал,19 кКал
"Кабачок желтый вареный, без соли",19 кКал,19 кКал,19 кКал,19 кКал
"Кабачок желтый вареный, с солью",19 кКал,19 кКал,19 кКал,19 кКал
"Кабачок желтый консервированный, без соли",13 кКал,13 кКал,13 кКал,13 кКал
"Кабачок желтый, замороженный",20 кКал,20 кКал,20 кКал,20 кКал
"Кабачок желтый, замороженный, вареный, без соли",25 кКал,25 кКал,25 кКал,25 кКал
"Кабачок желтый, замороженный, вареный, с солью",25 кКал,25 кКал,25 кКал,25 кКал
"Кабачок, все сорта",16 кКал,16 кКал,16 кКал,16 кКал
"Кабачок, все сорта, вареный, без соли",20 кКал,20 кКал,20 кКал,20 кКал
"Кабачок, все сорта, вареный, с солью",20 кКал,20 кКал,20 кКал,20 кКал
"Кале (кудрявая капуста, браунколь)",35 кКал,35 кКал,35 кКал,35 кКал
"Кале (кудрявая капуста, браунколь), вареная, без соли",36 кКал,36 кКал,36 кКал,36 кКал
"Кале (кудрявая капуста, браунколь), вареная, замороженная, без соли",36 кКал,36 кКал,36 кКал,36 кКал
"Кале (кудрявая капуста, браунколь), замороженная, неприготовленная",28 кКал,28 кКал,28 кКал,28 кКал
"Кале, вареная, с солью",44 кКал,44 кКал,44 кКал,44 кКал
"Кале, замороженная, вареная с солью",36 кКал,36 кКал,36 кКал,36 кКал
"Каперсы, консервированные",23 кКал,23 кКал,23 кКал,23 кКал
Капуста белокочанная,25 кКал,25 кКал,25 кКал,25 кКал
Капуста белокочанная,28 кКал,28 кКал,28 кКал,28 кКал
"Капуста белокочанная (датская, домашняя и сорта конической формы), прошлогодняя",24 кКал,24 кКал,24 кКал,24 кКал
"Капуста белокочанная (датская, домашняя и сорта конической формы), урожая текущего года, сырая",24 кКал,24 кКал,24 кКал,24 кКал
"Капуста белокочанная, вареная, без соли",23 кКал,23 кКал,23 кКал,23 кКал
"Капуста белокочанная, вареная, с солью",23 кКал,23 кКал,23 кКал,23 кКал
"Капуста белокочанная, квашеная",23 кКал,23 кКал,23 кКал,23 кКал
Капуста жареная по 2-50,50 кКал,50 кКал,50 кКал,50 кКал
Капуста запеченная по 1-256,113 кКал,113 кКал,113 кКал,113 кКал
"Капуста квашеная, консервированная",19 кКал,19 кКал,19 кКал,19 кКал
Капуста краснокочанная,26 кКал,26 кКал,26 кКал,26 кКал
"Капуста краснокочанная, вареная, без соли",29 кКал,29 кКал,29 кКал,29 кКал
"Капуста краснокочанная, вареная, с солью",29 кКал,29 кКал,29 кКал,29 кКал
"Капуста краснокочанная, сырая",31 кКал,31 кКал,31 кКал,31 кКал
Капуста маринованная по-японски,30 кКал,30 кКал,30 кКал,30 кКал
Капуста отварная по 1-210,24 кКал,24 кКал,24 кКал,24 кКал
"Капуста пекинская, приготовленная",12 кКал,12 кКал,12 кКал,12 кКал
Капуста припущенная по 1-218,37 кКал,37 кКал,37 кКал,37 кКал
Капуста тушеная по 1-220,75 кКал,75 кКал,75 кКал,75 кКал
Капустные котлеты по 1-236,153 кКал,153 кКал,153 кКал,153 кКал
Картофель,77 кКал,77 кКал,77 кКал,77 кКал
"Картофель белый неочищенный, печеный",92 кКал,92 кКал,92 кКал,92 кКал
"Картофель белый неочищенный, сырой",69 кКал,69 кКал,69 кКал,69 кКал
"Картофель дольками, замороженный",129 кКал,129 кКал,129 кКал,129 кКал
Картофель жареный брусочками по 1-230,192 кКал,192 кКал,192 кКал,192 кКал
Картофель жареный во фритюре по 1-230 (картофель фри),276 кКал,276 кКал,276 кКал,276 кКал
Картофель жареный ломтиками (из отварного) по 1-230,161 кКал,161 кКал,161 кКал,161 кКал
"Картофель красный неочищенный, печеный",87 кКал,87 кКал,87 кКал,87 кКал
"Картофель красный неочищенный, сырой",70 кКал,70 кКал,70 кКал,70 кКал
"Картофель красный, запечённый с кожурой",87 кКал,87 кКал,87 кКал,87 кКал
"Картофель неочищенный, сырой",77 кКал,77 кКал,77 кКал,77 кКал
Картофель О'Брайен (с болгарским перцем) домашнего приготовления,81 кКал,81 кКал,81 кКал,81 кКал
"Картофель О'Брайен, замороженный, неприготовленный",76 кКал,76 кКал,76 кКал,76 кКал
"Картофель О'Брайен, замороженный, приготовленный",204 кКал,204 кКал,204 кКал,204 кКал
"Картофель отваренный в кожуре (в мундире), без соли",87 кКал,87 кКал,87 кКал,87 кКал
"Картофель отваренный в кожуре (в мундире), кожура с солью",78 кКал,78 кКал,78 кКал,78 кКал
"Картофель отваренный в кожуре (в мундире), кожура, без добавления соли",78 кКал,78 кКал,78 кКал,78 кКал
"Картофель отваренный в кожуре (в мундире), с солью",87 кКал,87 кКал,87 кКал,87 кКал
Картофель отварной без соли,86 кКал,86 кКал,86 кКал,86 кКал
Картофель отварной по 1-206,75 кКал,75 кКал,75 кКал,75 кКал
Картофель отварной с солью,86 кКал,86 кКал,86 кКал,86 кКал
"Картофель печеный, кожура, без соли",198 кКал,198 кКал,198 кКал,198 кКал
"Картофель печеный, с солью",93 кКал,93 кКал,93 кКал,93 кКал
"Картофель печеный, сердцевина и кожура, с солью",93 кКал,93 кКал,93 кКал,93 кКал
"Картофель печеный, сердцевина с кожурой, без соли",93 кКал,93 кКал,93 кКал,93 кКал
"Картофель печеный, сердцевина, без соли",93 кКал,93 кКал,93 кКал,93 кКал
"Картофель по-селянски, замороженный, неприготовленный",153 кКал,153 кКал,153 кКал,153 кКал
"Картофель по-селянски, замороженный, приготовленный без соли, после приготовления в духовке",218 кКал,218 кКал,218 кКал,218 кКал
"Картофель по-селянски, замороженный, приготовленный с солью, после приготовление в духовке",218 кКал,218 кКал,218 кКал,218 кКал
Картофель сорта Рассет,79 кКал,79 кКал,79 кКал,79 кКал
"Картофель сорта Рассет, печеный, сердцевина с кожурой",95 кКал,95 кКал,95 кКал,95 кКал
Картофель сушеный,317 кКал,317 кКал,317 кКал,317 кКал
Картофель-пюре домашнего приготовления с добавлением молока и маргарина,113 кКал,113 кКал,113 кКал,113 кКал
"Картофель-пюре сушеный (дегидрированный), в гранулах не содерщих молока, в сухой форме",372 кКал,372 кКал,372 кКал,372 кКал
"Картофель-пюре сушеный (дегидрированный), в гранулах содерщих молоко, в сухой форме",357 кКал,357 кКал,357 кКал,357 кКал
"Картофель-пюре сушеный (дегидрированный), приготовленный из гранул не содержащих молока,  с добавлением молока и масла по завершению приготовления",108 кКал,108 кКал,108 кКал,108 кКал
"Картофель-пюре сушеный (дегидрированный), приготовленный из гранул содержащих молоко, с добавлением воды и маргарина по завершению приготовления",116 кКал,116 кКал,116 кКал,116 кКал
"Картофель-пюре сушеный (дегидрированный), приготовленный из хлопьев не содержащих молока, с добавлением молока и масла по завершению приготовления",97 кКал,97 кКал,97 кКал,97 кКал
"Картофель-пюре, приготовленный из гранул не содержащих молоко, в конце приготовления  добавлены молоко и маргарин",108 кКал,108 кКал,108 кКал,108 кКал
