Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,2561,3283,22,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1646,2110,22,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3658,4690,22,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,926,1187,22,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1597,2048,22,Ограничено
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1829,2345,22,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,3111,3988,22,На складе
"TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD)",Безверхний И. Б.,МК-Пресс,285,366,22,Ограничено
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,1145,1468,22,На складе
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,265,340,22,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,794,1018,22,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,958,1228,22,На складе
Цифровая обработка сигналов. Моделирование в Simulink,Солонина Алла Ивановна,BHV:Учебное пособие,476,610,22,На складе
XSLT. Сборник рецептов,Мангано Сэл,BHV,866,1110,22,На складе
Основы Microsoft Visual Studio .NET 2003,Джонсон Брайан и др.,Русская редакция:Фундаментальные знания,261,334,22,На складе
Средства информатизации. Телекоммуникационные технологии,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,283,363,22,Ограничено
iPhone. Разработка приложений с открытым кодом,Здзиарски Джонатан,BHV:Бестселлеры O`Reilly,312,400,22,Ограничено
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1026,1316,22,На складе
JavaFX 2.0. Разработка RIA-приложений,Машнин Тимур Сергеевич,BHV:Профессиональное программирование,350,449,22,На складе
Программирование для студентов и школьников на примере Small Basic,Ахметов Ильдар Геннадьевич,BHV:Информатика и ИКТ,185,237,22,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1025,1708,40,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1112,Нет старого прайса,Нет скидки,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1349,1730,22,На складе
Самоучитель Adobe Dreamweaver CS5.5,Дронов Владимир Александрович,BHV:Профессиональное программирование,283,363,22,На складе
Язык программирования Java и среда NetBeans (+DVD),Монахов Вадим Валерьевич,BHV:Мастер решений,592,759,22,На складе
Flex 4. Рецепты программирования,Ноубл Джошуа и др.,BHV:Рецепты программирования,1022,1310,22,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD),"Кехтарнаваз Насер, Ким Намджин",Додека XXI век,1641,2104,22,Ограничено
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,261,343,24,На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С:1С: Предприятие 8,253,333,24,На складе
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,253,333,24,На складе
Нейросети и нейрокомпьютеры,"Злобин Владимир Константинович, Ручкин Владимир Николаевич",BHV:Учебное пособие,259,332,22,На складе
ASP.NET. Сборник рецептов (+CD),Агуров Павел Владимирович,BHV:Профессиональное программирование,412,528,22,На складе
Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD),Гробов Игорь Дмитриевич,BHV:Профессиональное программирование,489,627,22,Ограничено
Ассемблер для Windows (+СD),Пирогов Владислав Юрьевич,BHV:Профессиональное программирование,579,742,22,На складе
C# 3.0. Справочник,Албахари Джозеф,BHV:Бестселлеры O`Reilly,661,847,22,Ограничено
Firebird: руководство разраб баз данных,Борри Хелен,BHV:В подлиннике,633,812,22,Ограничено
Самоучитель Silverlight 3,Дронов Владимир Александрович,BHV:Самоучитель,324,415,22,На складе
Windows Driver Foundation: разработка драйверов,"Орвик Пенни, Смит Гай",BHV,800,1025,22,На складе
Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс,Эспозито Дино,Питер,697,893,22,На складе
Exchange Server 2010. Практическое руководство,Весселиус Яап,Эком,824,1056,22,Ограничено
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,355,455,22,На складе
Рефакторинг в C# и ASP.NET для профессионалов,Арсеновски Даниэль,Диалектика: ,1784,2287,22,Ограничено
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,738,946,22,На складе
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,651,834,22,На складе
Pocket PC. Руководство разработчика,Крелль Брюс Е.,ДМК-Пресс: ,231,296,22,Ограничено
Программирование в C++Builder 6 и 2006 (+CD),"Архангельский Алексей Яковлевич, Тагин М.",Бином: ,1501,1924,22,Ограничено
Visual Basic. Освой на примерах (+CD),Культин Никита Борисович,BHV:На примерах,159,204,22,На складе
Практическая статистика для специалистов Data Science,Брюс Питер и др.,BHV,885,1134,22,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,722,1203,40,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,1097,1407,22,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1829,2345,22,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,733,940,22,На складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,1534,2557,40,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,1663,2771,40,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,1347,2245,40,На складе
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер:Бестселлеры O`Reilly,1462,2437,40,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,2527,3240,22,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,2002,2567,22,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1829,2345,22,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1646,2110,22,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,1496,2494,40,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,1890,3150,40,На складе
Программная инженерия. Учебное пособие,Маран Микхель Михкелевич,Лань:Учебники для вузов. Специальная литература,2104,2698,22,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1829,2345,22,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2377,3048,22,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2743,3517,22,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2743,3517,22,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2803,3593,22,Ограничено
"Python, например",Лейси Никола,Питер:Библиотека программиста,759,1265,40,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2696,3456,22,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1371,1758,22,На складе
Arduino. Большая книга рецептов,Марголис Майкл и др.,BHV,1651,2117,22,На складе
Active Directory глазами хакера,Hacker Ralf,BHV:Глазами Хакера,426,546,22,На складе
Web-сервер глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,599,768,22,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,2158,3596,40,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1097,1407,22,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,913,1171,22,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2927,3752,22,На складе
"Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным",Правдина Елена Владиславовна,Бомбора:Книги-драйверы,683,876,22,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,1377,2295,40,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,280,359,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2743,3517,22,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,2114,2710,22,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,941,1568,40,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,855,1425,40,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,3245,5409,40,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2441,3129,22,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2326,2982,22,На складе
Программирование.Сборник задач.СПО,"Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань:Компьютеры и программное обеспечение,1240,1590,22,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1009,1293,22,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1829,2345,22,На складе
Обработка и представление данных в MS Excel. СПО,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,915,1173,22,На складе
"Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика",Роббинс Дженнифер Нидерст,BHV,2064,2646,22,На складе
Разработка веб-приложений на WordPress,"Мессенленер Брайан, Коулман Джейсон",BHV,1298,1664,22,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1865,2391,22,На складе
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5393,6914,22,На складе
PowerShell для сисадминов,Бертрам Адам,Питер:Для профессионалов,1415,2359,40,На складе
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер:Для профессионалов,941,1568,40,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,1415,2359,40,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1510,1936,22,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2377,3048,22,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1463,1876,22,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,1700,2833,40,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,1700,2833,40,На складе
Raspberry Pi 4. Официальное руководство для начинающих,Халфакри Гарет,ДМК-Пресс,1829,2345,22,На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,1168,1497,22,На складе
Простой Python просто с нуля,Гаско Рик,Солон-пресс:Программирование,771,989,22,На складе
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман Григорий Морицович, Иванов О. А.",Питер:Учебник для вузов,621,1035,40,На складе
Большие данные. Принципы и практика построения масштабируемых систем обработки данных в реальном вр.,"Марц Натан, Уоррен Джеймс",Вильямс,2022,2592,22,На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,1084,1426,24,На складе
Основы технологий баз данных. Учебное пособие,"Новиков Борис Асенович, Горшкова Екатерина Александровна",ДМК-Пресс,1097,1407,22,На складе
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1646,2110,22,На складе
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,949,1581,40,На складе
C++. Базовый курс,Шилдт Герберт,Вильямс,2022,2592,22,На складе
Linux. Карманный справочник,Граннеман Скотт,Вильямс,1348,1728,22,На складе
"Управление программными проектами. Стандарты, модели",Ехлаков Юрий Поликарпович,Лань:Компьютеры и программное обеспечение,1970,2526,22,На складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1395,1789,22,На складе
Основы алгоритмизации и программирования. Практикум. ФГОС,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,459,589,22,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,926,1187,22,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,6741,8642,22,Ограничено
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,1008,1292,22,На складе
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,834,1069,22,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,951,1219,22,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1739,2230,22,На складе
Суперкомпьютерные вычисления: практический подход,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",BHV:Учебник для ВУЗов,610,782,22,На складе
Java. Эффективное программирование,Блох Джошуа,Вильямс,2696,3456,22,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,1294,2157,40,На складе
DevOps для ИТ-менеджеров,Скрынник Олег,ДМК-Пресс,1187,1522,22,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2743,3517,22,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1829,2345,22,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2696,3456,22,На складе
CSS. Карманный справочник,Мейер Эрик,Вильямс,814,1044,22,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Вильямс,2696,3456,22,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,3487,Нет старого прайса,Нет скидки,На складе
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,889,1481,40,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,1149,1915,40,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,3371,4322,22,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,8087,10368,22,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1646,2110,22,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,2195,2814,22,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,2871,3681,22,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,4459,5717,22,На складе
Программирование на C для чайников,Гукин Дэн,"Диалектика:Для ""чайников""",1487,1906,22,Ограничено
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,3371,4322,22,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,524,873,40,На складе
"HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5","Дронов Владимир Александрович, Прохоренок Николай Анатольевич",BHV:Профессиональное программирование,1250,1603,22,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,696,892,22,Ограничено
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,738,946,22,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,909,1166,22,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,1186,1520,22,Ограничено
Программируем на Python,Доусон Майкл,Питер,836,1393,40,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,814,1044,22,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,1348,1728,22,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,4719,6050,22,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,889,1481,40,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1463,1876,22,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,1508,2513,40,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1164,1940,40,На складе
Python 3. Самое необходимое,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Самое необходимое,920,1180,22,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,1179,1511,22,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1561,2001,22,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1829,2345,22,На складе
Начинаем программировать на Python,Гэддис Тони,BHV,1628,2087,22,На складе
Python 3 и PyQt 5. Разработка приложений. 2-е издание,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Профессиональное программирование,1250,1603,22,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1619,2075,22,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1281,1642,22,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,561,738,24,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,2696,3456,22,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,2192,2810,22,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,767,983,22,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3371,4322,22,Ограничено
Прикладное машинное обучение без учителя с использованием Python,Пател Анкур,Диалектика,2696,3456,22,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4045,5186,22,На складе
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1041,1735,40,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1829,2345,22,На складе
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,771,988,22,На складе
Программирование для Android,Колисниченко Денис Николаевич,BHV:Самоучитель,578,741,22,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1034,1724,40,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1044,1740,40,На складе
Site Reliability Workbook. Практическое применение,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,1671,2785,40,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,697,917,24,На складе
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,876,1152,24,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1829,2345,22,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2415,3096,22,Ограничено
Английский язык в программировании и информационных системах (СПО). Учебник,Радовель Валентина Александровна,Кнорус:Среднее профессиональное образование,1371,Нет старого прайса,Нет скидки,На складе
Kotlin. Программирование на примерах,Аделекан Ияну,BHV,1062,1361,22,На складе
HTML и CSS. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,830,1064,22,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1441,1848,22,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,931,1193,22,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2053,3421,40,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,2695,4491,40,На складе
Программируем с PyTorch. Создание приложений глубокого обучения,Пойтнер Ян,Питер:Бестселлеры O`Reilly,1044,1740,40,На складе
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1044,1740,40,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1829,2345,22,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1646,2110,22,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1829,2345,22,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1096,1405,22,На складе
Мобильные роботы на базе ESP32 в среде Arduino IDE,Момот Михаил Викторович,BHV:Электроника,659,845,22,На складе
Программирование на VBA в Excel 2019. Самоучитель,"Комолова Нина Владимировна, Клименко А. В.",BHV:Самоучитель,841,1078,22,На складе
Програмирование микроконтроллеров AVR. От Arduino к ассемблеру,Ревич Юрий Всеволодович,BHV:Электроника,795,1019,22,На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1034,1724,40,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,1640,2733,40,На складе
Чистый Agile. Основы гибкости,Мартин Роберт С.,Питер:Библиотека программиста,1044,1740,40,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,1657,2762,40,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,2089,3481,40,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1829,2345,22,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1829,2345,22,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,2377,3048,22,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,1129,1448,22,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2022,2592,22,На складе
Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного,Харрисон Мэтт,Диалектика,1080,1384,22,На складе
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2696,3456,22,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,2743,3517,22,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1829,2345,22,На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер:Бестселлеры O`Reilly,1385,2308,40,На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1829,2345,22,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,2195,2814,22,На складе
