Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2561,3283,22,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1973,2530,22,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1583,2029,22,На складе
Основы тестирования программного обеспечения. СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1714,2197,22,На складе
Java. Решение практических задач,Леонард Анджел,BHV:Учебная литература для ВУЗов,1533,1966,22,На складе
Создание сайтов на Tilda. Самоучитель,Молочков Владимир Петрович,BHV:Самоучитель,691,886,22,На складе
Основы искусственного интеллекта в примерах на Python,Постолит Анатолий Владимирович,BHV:Самоучитель,866,1110,22,На складе
"Python, Django и PyCharm для начинающих",Постолит Анатолий Владимирович,BHV:Для Начинающих,807,1034,22,На складе
Bootstrap и CSS-препроцессор Sass,Прохоренок Николай Анатольевич,BHV:Самое необходимое,944,1210,22,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,913,1171,22,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1829,2345,22,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,814,1044,22,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1187,1522,22,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1069,1371,22,На складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1591,2040,22,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,913,1171,22,На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,288,369,22,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,1041,1334,22,На складе
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1348,1728,22,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1619,2075,22,На складе
C# 5.0.Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,2229,2858,22,Ограничено
Java EE 7. Основы,Гупта Арун,Вильямс,814,1044,22,На складе
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,814,1044,22,Ограничено
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1348,1728,22,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,2973,3811,22,Ограничено
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1348,1728,22,Ограничено
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1080,1384,22,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,743,953,22,На складе
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,Фримен Адам,Вильямс,4459,5717,22,На складе
Swift. Разработка приложений в среде Xcode для iPhone и iPad с использованием iOS SDK,Марк Дэвид и др.,Вильямс,3371,4322,22,Ограничено
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,"Хорстманн Кей С., Корнелл Гари",Вильямс,2973,3811,22,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,289,371,22,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,420,538,22,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2022,2592,22,Ограничено
Расширение библиотеки STL для С++. Наборы и итераторы (+CD),Уилсон Мэтью,BHV,800,1025,22,На складе
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,1097,1407,22,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,270,346,22,Ограничено
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,657,842,22,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1579,2024,22,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1666,2136,22,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,1005,1289,22,На складе
Программирование в Delphi. Учебник по классическим версиям Delphi (+CD),Архангельский Алексей Яковлевич,Бином: ,1051,1348,22,На складе
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1281,1642,22,На складе
Современное логическое программирование на языке Visual Prolog 7.5. Учебник,Марков В. Н.,BHV:Что вам могут не сказать...,841,1078,22,На складе
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1187,1522,22,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,828,1061,22,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,558,715,22,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,600,769,22,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,324,415,22,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1861,2386,22,На складе
Язык Swift. Самоучитель,Харазян Айк Арменович,BHV:Самоучитель,405,519,22,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,1005,1289,22,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1463,1876,22,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,1005,1289,22,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1434,1838,22,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1419,1819,22,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,866,1110,22,На складе
Visual FoxPro 9.0. Учебный курс,Нет автора,Корона-Принт,594,761,22,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2377,3048,22,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,1187,1522,22,На складе
Java EE 7 и сервер приложений GlassFish 4,Хеффельфингер Дэвид,ДМК-Пресс,1113,1427,22,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,828,1061,22,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,1097,1407,22,На складе
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1281,1642,22,На складе
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1646,2110,22,На складе
Разработка приложений Java EE 7 в NetBeans 8,Хеффельфингер Дэвид,ДМК-Пресс,1167,1496,22,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,799,1024,22,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,1097,1407,22,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),1578,2630,40,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1829,2345,22,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1813,2324,22,Ограничено
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,1187,1522,22,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1463,1876,22,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1187,1522,22,Ограничено
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1646,2110,22,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1097,1407,22,На складе
Elastix - общайтесь свободно!,Юров Владислав,Эком,1110,1423,22,Ограничено
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,599,768,22,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,650,833,22,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,645,827,22,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,1463,1876,22,На складе
Микроконтроллеры AVR семейств Tiny и Mega фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,1097,1407,22,На складе
Микроконтроллеры AVR семейства Classic фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,738,946,22,На складе
Микроконтроллеры AVR семейства Mega. Руководство пользователя,Евстифеев А.В.,ДМК-Пресс:Программируемые системы,1281,1642,22,На складе
Микроконтроллеры AVR семейства Tiny. Руководство пользователя,Евстифеев А.В.,ДМК-Пресс:Программируемые системы,913,1171,22,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1097,1407,22,Ограничено
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,849,1088,22,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1281,1642,22,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1163,1491,22,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,913,1171,22,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,1097,1407,22,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,496,636,22,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1829,2345,22,На складе
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1371,1758,22,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1097,1407,22,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,411,527,22,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1051,1348,22,На складе
Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD),Заец Николай Иванович,Корона-Принт,503,645,22,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1281,1642,22,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,945,1212,22,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,528,677,22,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,558,715,22,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1829,2345,22,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1829,2345,22,На складе
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1463,1876,22,На складе
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",Нет автора,ДМК-Пресс,1272,1631,22,На складе
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,954,1223,22,Ограничено
.NET Сетевое программирование,Кумар Винод и др.,Лори,996,1277,22,На складе
Редкая профессия,Зуев Евгений Александрович,ДМК-Пресс,558,715,22,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,738,946,22,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,920,1179,22,Ограничено
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,1187,1522,22,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,350,583,40,Ограничено
"Разработка приложений для Windows Phone. Архитектура, фреймворки, API",Гецманн Патрик и др.,BHV,1193,1530,22,На складе
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,1240,1590,22,Ограничено
Google App Engine Java и Google Web Toolkit. Разработка Web-приложений,Машнин Тимур Сергеевич,BHV:Профессиональное программирование,516,662,22,Ограничено
Visuai Basic в задачах и примерах,Сафронов Игорь Константинович,BHV:В задачах и примерах,259,332,22,На складе
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,558,715,22,На складе
Самоучитель PHP 5/6,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,701,899,22,Ограничено
"Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD)",Брэй Барри,Корона-Принт,1067,1368,22,На складе
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,183,234,22,На складе
jQuery Mobile. Разработка приложений для смартфонов и планшетов,Фиртман Максимилиано,BHV,324,415,22,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,323,414,22,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,1097,1407,22,Ограничено
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,771,989,22,На складе
MUMPS СУБД Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1277,1637,22,Ограничено
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1281,1642,22,Ограничено
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,912,1169,22,На складе
Методы программирования. Компьютерные вычисления,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,395,507,22,Ограничено
"Data mining. Извлечение информации из Facebook, Twitter, LinkedIn, Instagram, GitHub","Рассел Мэтью, Классен Михаил",Питер:Бестселлеры O`Reilly,1073,1789,40,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,2011,2578,22,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,2828,3625,22,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,3371,4322,22,На складе
"Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию",Данжу Джульен,Питер:Библиотека программиста,789,1315,40,На складе
Безопасный DevOps. Эффективная эксплуатация систем,Вехен Джульен,Питер:Для профессионалов,1140,1900,40,На складе
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,1497,1919,22,Ограничено
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1737,2227,22,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1646,2110,22,На складе
Язык программирования С++. Специальное издание,Страуструп Бьерн,Бином,1535,1968,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,1510,1936,22,Ограничено
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,2696,3456,22,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,734,1224,40,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1799,2307,22,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,Нет автора,Солон-пресс:Библиотека студента,356,457,22,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,Нет автора,Солон-пресс:Библиотека студента,678,869,22,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1395,1789,22,Ограничено
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2927,3752,22,На складе
